project,field,type,method,category
fast-serialization,0,0,1,Software tools
enroscar,0,1,0,Software tools
spring-security-oauth,0,1,0,Web libraries and frameworks
restx,0,0,1,Web libraries and frameworks
grpc-java,0,1,0,Non-web libraries and frameworks
javaslang,0,0,1,Non-web libraries and frameworks
crash,0,1,0,System Software
platform_dalvik,0,0,1,System Software
openhab,0,0,1,Application
mongo-hadoop,39,0,19,Non-web libraries and frameworks
lwjgl,2,0,36,Non-web libraries and frameworks
sqoop-release,0,180,2,System Software
java-driver,1,0,27,Application
robocode,0,1,54,Application
c3p0,0,6,16,Non-web libraries and frameworks
powermock,0,2,19,Non-web libraries and frameworks
flyway,1,2,17,Application
joda-time,0,5,15,Non-web libraries and frameworks
zaproxy,8,19,50,Application
android-support-v4-googlemaps,2,0,16,Non-web libraries and frameworks
android-xbmcremote,1,2,29,Non-web libraries and frameworks
gs-collections,0,18,126,Non-web libraries and frameworks
pdfbox,13,1,70,Non-web libraries and frameworks
spring-integration,0,9,15,Software tools
opencms-core,71,7,111,Web libraries and frameworks
Terasology,0,18,29,Non-web libraries and frameworks
bc-java,80,50,242,Application
activejdbc,0,6,24,Non-web libraries and frameworks
google-api-java-client,0,0,10,Non-web libraries and frameworks
args4j,0,0,10,Non-web libraries and frameworks
groovy-eclipse,553,211,1310,Software tools
railo,0,11,133,Software tools
assertj-core,0,0,18,Non-web libraries and frameworks
pgjdbc,0,0,18,Non-web libraries and frameworks
android-beacon-library,0,0,9,Non-web libraries and frameworks
togglz,0,1,8,Non-web libraries and frameworks
Smack,0,8,53,Non-web libraries and frameworks
jackson-core,0,0,17,Non-web libraries and frameworks
zk,5,60,242,Web libraries and frameworks
android_frameworks_base,498,68,293,Non-web libraries and frameworks
TwelveMonkeys,0,4,10,Non-web libraries and frameworks
languagetool,0,0,7,Software tools
spring-android,0,5,22,Non-web libraries and frameworks
freemarker,16,12,70,Non-web libraries and frameworks
ormlite-core,0,0,13,Non-web libraries and frameworks
keepassdroid,5,6,2,Non-web libraries and frameworks
spring-data-mongodb,0,2,43,Software tools
hudson-2.x,42,26,175,System Software
geoserver,1,13,158,System Software
logstash-logback-encoder,1,3,15,Non-web libraries and frameworks
shiro,0,12,12,Application
JavaHamcrest,0,0,6,Non-web libraries and frameworks
enunciate,0,4,2,Web libraries and frameworks
hibernate-orm,35,42,150,Non-web libraries and frameworks
davdroid,5,13,37,Application
OpenIAB,7,0,15,Non-web libraries and frameworks
Applied-Energistics-2,1,6,15,Application
servo,0,1,10,Application
spring-data-commons,0,1,10,Software tools
jmeter,0,3,35,Application
zookeeper,22,1,4,Software tools
jPOS,1,5,10,Application
thymeleaf,0,1,20,Web libraries and frameworks
restfb,0,4,16,Non-web libraries and frameworks
spring-data-rest,0,0,10,Non-web libraries and frameworks
platform_frameworks_support,3,7,88,Non-web libraries and frameworks
openwayback,0,19,37,Software tools
soot,0,15,13,Non-web libraries and frameworks
OG-Platform,16,438,361,Software tools
grails-core,1,30,50,Web libraries and frameworks
mapdb,2,0,42,System Software
Openfire,2,7,26,System Software
jclouds,1,13,104,Software tools
EhViewer,0,0,13,Application
GWTP,0,17,21,Web libraries and frameworks
mongo-java-driver,1,2,35,Non-web libraries and frameworks
hudson,55,38,310,Software tools
gwt,20,92,351,Software tools
cursor-utils,0,0,8,Non-web libraries and frameworks
Java-Thread-Affinity,0,0,4,Application
gnucash-android,4,0,0,Application
subsonic,0,0,4,Application
Subsonic,0,0,4,Non-web libraries and frameworks
AxonFramework,0,1,18,Non-web libraries and frameworks
liquibase,1,5,57,System Software
operaprestodriver,0,0,11,Non-web libraries and frameworks
playn,0,2,23,Non-web libraries and frameworks
nifty-gui,2,26,11,Non-web libraries and frameworks
frames,0,1,13,Non-web libraries and frameworks
restlet-framework-java,1,0,13,Non-web libraries and frameworks
asterisk-java,0,6,32,Non-web libraries and frameworks
calabash-android,6,43,101,Software tools
ps3mediaserver,82,4,71,System Software
slf4j,6,0,7,Software tools
jnr-ffi,0,1,12,Non-web libraries and frameworks
xwiki-platform,6,103,379,Non-web libraries and frameworks
fanfoudroid,0,1,21,Application
Resteasy,0,35,7,Non-web libraries and frameworks
curator-apache,0,4,11,Non-web libraries and frameworks
android-utils,0,1,2,Non-web libraries and frameworks
JSONassert,0,0,3,Non-web libraries and frameworks
crawljax,0,1,2,Application
avaje-ebeanorm,0,0,3,Non-web libraries and frameworks
legacy-jclouds,0,62,17,Web libraries and frameworks
openmrs-core,66,32,660,Web libraries and frameworks
vaadin,80,27,343,Non-web libraries and frameworks
opennlp,1,4,85,Non-web libraries and frameworks
github-plugin,0,1,7,Application
rest-assured,0,0,8,Web libraries and frameworks
igv,0,6,2,Application
xtext,5,75,321,Non-web libraries and frameworks
tomcat70,80,43,288,System Software
ngrinder,0,0,10,Application
rstudio,0,2,3,Application
Ektorp,0,1,4,Non-web libraries and frameworks
quickfixj,0,0,5,Non-web libraries and frameworks
antlr4,3,0,19,Software tools
sling,49,36,78,Web libraries and frameworks
javassist,0,0,7,Software tools
bigbluebutton,1,0,6,Application
geotools,18,63,308,Non-web libraries and frameworks
tomcat,5,10,70,System Software
UniversalMediaServer,86,1,91,Application
wicket,0,11,25,Web libraries and frameworks
proctor,3,0,6,Non-web libraries and frameworks
i2p.i2p,5,12,172,System Software
selenium,3,5,7,Non-web libraries and frameworks
citrus,0,0,15,Web libraries and frameworks
WorldEdit,0,33,80,Application
browsermob-proxy,0,3,31,Software tools
liferay-plugins,0,53,183,Application
PayPal-Java-SDK,0,0,16,Non-web libraries and frameworks
vraptor,0,0,8,Web libraries and frameworks
sshj,0,0,6,Non-web libraries and frameworks
capsule,0,0,6,Software tools
picard,0,0,4,System Software
gs-core,0,1,3,Non-web libraries and frameworks
slice,0,0,2,Non-web libraries and frameworks
cube-sdk,0,0,2,Non-web libraries and frameworks
Minecraft-Server-Mod,0,0,2,System Software
btrace,0,0,2,System Software
AntennaPod,0,0,2,Application
mycollab,0,0,2,Non-web libraries and frameworks
elasticsearch-analysis-icu,0,2,0,Application
ImageViewEx,0,0,2,Non-web libraries and frameworks
ormlite-android,0,0,2,Non-web libraries and frameworks
jmxtrans,0,0,2,Application
transdroid,1,0,1,Application
spring-social-facebook,0,0,2,Non-web libraries and frameworks
structr,0,1,1,Non-web libraries and frameworks
tika,28,3,29,Non-web libraries and frameworks
gridgain,11,2,58,Non-web libraries and frameworks
incubator-brooklyn,29,32,331,System Software
spring-roo,1,0,36,Non-web libraries and frameworks
aws-sdk-java,12,93,87,Non-web libraries and frameworks
ceylon-compiler,4,54,8,System Software
eureka,0,2,16,Software tools
erlide,0,1,8,Software tools
optiq,0,0,9,System Software
soapui,0,1,27,Non-web libraries and frameworks
xtreemfs,0,2,5,System Software
hbase,5,17,221,System Software
voltdb,20,5,78,Software tools
Multiverse-Core,0,7,20,Non-web libraries and frameworks
wro4j,0,1,4,Web libraries and frameworks
rest-driver,0,2,3,Non-web libraries and frameworks
bytecode-viewer,16,6,14,Software tools
cas,0,18,21,Web libraries and frameworks
wonder,3,37,159,Non-web libraries and frameworks
selenide,2,0,14,Non-web libraries and frameworks
XChange,0,1,7,Non-web libraries and frameworks
pig,11,49,31,Software tools
WorldGuard,1,2,19,Application
accumulo,1,48,115,System Software
jmonkeyengine,8,14,39,Software tools
jdom,0,5,16,Non-web libraries and frameworks
github-api,0,4,14,Non-web libraries and frameworks
concourse,0,0,6,System Software
jzmq,2,0,4,Software tools
RichTextFX,0,0,3,Non-web libraries and frameworks
nutch,0,2,1,Application
sqlite-jdbc,0,0,3,Non-web libraries and frameworks
stratosphere,0,0,28,Non-web libraries and frameworks
pad,0,3,49,Software tools
mondrian,1,5,20,Application
osmosis,0,5,19,System Software
fab,0,0,7,Non-web libraries and frameworks
testng,0,2,16,Non-web libraries and frameworks
effectivejava,0,7,16,Software tools
rest.li,0,3,24,Non-web libraries and frameworks
BoofCV,0,0,4,Non-web libraries and frameworks
elasticsearch,6,13,43,Software tools
sonarqube,65,87,156,Application
lenskit,0,4,25,Application
ccnx,0,0,30,Non-web libraries and frameworks
modeshape,2,3,13,System Software
zeno,0,0,12,Non-web libraries and frameworks
geppetto,0,1,5,Software tools
OpenAtlas,3,1,2,System Software
ofbiz,0,5,94,Web libraries and frameworks
camel,12,33,233,Non-web libraries and frameworks
kite,1,0,6,Non-web libraries and frameworks
log4j,18,4,26,Non-web libraries and frameworks
itextpdf,10,3,34,Non-web libraries and frameworks
struts,1,2,11,Web libraries and frameworks
activemq,0,3,13,Application
griffon,0,2,15,Non-web libraries and frameworks
bonecp,0,0,19,Non-web libraries and frameworks
jena,19,9,77,Non-web libraries and frameworks
jbehave-core,4,2,12,Non-web libraries and frameworks
Pydev,0,1,8,Application
mixpanel-android,0,1,6,Non-web libraries and frameworks
Lealone,0,0,6,Application
config,0,0,4,Non-web libraries and frameworks
twilio-java,0,0,3,Non-web libraries and frameworks
thucydides,0,0,3,Software tools
orbit,0,0,2,Non-web libraries and frameworks
HugeCollections,0,0,2,Non-web libraries and frameworks
errai,0,1,1,Web libraries and frameworks
idea-php-laravel-plugin,0,0,1,Web libraries and frameworks
signpost,0,0,1,Non-web libraries and frameworks
datacube,0,0,1,System Software
hbc,0,0,1,Non-web libraries and frameworks
stream-lib,0,0,1,Non-web libraries and frameworks
android-maps-utils,0,1,0,Non-web libraries and frameworks
wigle-wifi-wardriving,0,1,0,Application
platform_packages_apps_contacts,0,1,0,Non-web libraries and frameworks
brut.apktool,0,0,1,Application
nodeclipse-1,0,0,1,Application
GeoIP2-java,0,0,1,Non-web libraries and frameworks
analytics-android,0,0,1,Non-web libraries and frameworks
nginx-clojure,1,0,0,Non-web libraries and frameworks
Kylin,0,0,1,Software tools
incubator-kylin,0,0,1,Software tools
BroadleafCommerce,8,45,168,Non-web libraries and frameworks
avro,3,4,23,Software tools
isis,35,65,128,Non-web libraries and frameworks
zanata-server,0,0,10,Application
flume-release,13,0,3,Software tools
hydra,0,0,8,Software tools
java-object-diff,0,2,5,Non-web libraries and frameworks
mct,0,0,7,Application
hibernate-search,0,3,10,Software tools
denominator,0,0,6,Software tools
jackson-databind,3,5,76,Non-web libraries and frameworks
DataflowJavaSDK,0,0,5,Software tools
HotswapAgent,0,1,4,Software tools
mule,2,68,151,Application
FML,0,3,10,Application
autopsy,0,2,15,Application
marytts,0,2,19,Non-web libraries and frameworks
mockito,0,5,6,Non-web libraries and frameworks
aws-sdk-android,1,27,65,Non-web libraries and frameworks
DSpace,1,22,15,System Software
android-database-sqlcipher,7,0,8,Non-web libraries and frameworks
gerrit-trigger-plugin,0,0,6,Application
poi,4,10,177,Application
owlapi,4,28,27,Non-web libraries and frameworks
fred,1,8,20,Application
spring-webflow,0,7,1,Software tools
lucene-solr,11,12,26,Non-web libraries and frameworks
platform_packages_apps_email,6,0,11,Non-web libraries and frameworks
spring-data-redis,0,2,6,Non-web libraries and frameworks
Chronicle-Map,0,3,3,Application
bndtools,0,0,4,Application
GeoGig,0,0,4,Application
material-dialogs,0,0,2,Non-web libraries and frameworks
sql2o,0,0,2,Non-web libraries and frameworks
weave,0,0,2,Software tools
SIREn,0,2,0,Non-web libraries and frameworks
spring-data-solr,0,0,2,Non-web libraries and frameworks
OpenGrok,0,0,2,Software tools
gwt-maven-plugin,1,1,0,Application
pentaho-platform,1,19,32,Non-web libraries and frameworks
jetty.project,2,6,32,Application
infinispan,1,18,61,Software tools
camunda-bpm-platform,6,2,44,Non-web libraries and frameworks
Mekanism,1,0,14,Application
workflow-plugin,0,1,7,Application
flink,0,0,41,Non-web libraries and frameworks
google-http-java-client,2,2,5,Web libraries and frameworks
jbpm,0,3,6,Application
robovm,69,38,204,Software tools
nd4j,20,0,5,Non-web libraries and frameworks
fixflow,0,0,4,Software tools
closure-compiler,1,0,3,Software tools
astyanax,0,5,24,Web libraries and frameworks
spring-amqp,1,0,4,Software tools
hadoop,6,19,139,Software tools
openstack-java-sdk,0,1,6,Non-web libraries and frameworks
rabbitmq-java-client,0,0,4,Web libraries and frameworks
AndroidCaldavSyncAdapater,0,0,4,Non-web libraries and frameworks
UpdateChecker,0,0,3,Non-web libraries and frameworks
governator,0,2,1,Web libraries and frameworks
TestFX,0,0,2,Non-web libraries and frameworks
androidclient,2,0,0,Non-web libraries and frameworks
semantic-versioning,0,0,1,Software tools
infovore,0,1,0,Non-web libraries and frameworks
ehcache3,0,0,1,Non-web libraries and frameworks
dcm4che,0,0,1,Application
hibernate-validator,0,1,0,Non-web libraries and frameworks
Web-Karma,0,1,0,Application
cascading,0,0,1,Non-web libraries and frameworks
fitnesse,0,1,0,Non-web libraries and frameworks
PassAndroid,0,0,1,Application
ioke,0,0,1,System Software
SeriesGuide,1,0,0,Application
cdk,0,2,13,Non-web libraries and frameworks
parquet-mr,0,2,27,Software tools
artemis-odb,0,1,21,Non-web libraries and frameworks
ribbon,0,2,8,Web libraries and frameworks
asciidoctorj,0,0,8,Non-web libraries and frameworks
pentaho-kettle,10,3,65,Software tools
Activiti,0,2,10,Software tools
jOOQ,0,7,63,Software tools
eucalyptus,0,0,17,System Software
jcommon,0,2,7,Non-web libraries and frameworks
g4studio,0,0,9,Application
ambari,0,2,2,Software tools
blueprints,0,0,4,Non-web libraries and frameworks
XposedBridge,0,0,2,Non-web libraries and frameworks
aws-toolkit-eclipse,2,0,0,Application
opensearchserver,2,0,0,Application
CloudStack-archive,1,0,15,System Software
JGroups,0,13,7,Non-web libraries and frameworks
unfolding,0,0,6,Non-web libraries and frameworks
choco3,0,1,2,Non-web libraries and frameworks
bitcoinj,0,0,8,Non-web libraries and frameworks
CommandBook,0,0,4,System Software
hector,0,1,3,Non-web libraries and frameworks
spring-social,0,0,2,Non-web libraries and frameworks
arquillian-core,0,0,2,Software tools
less4j,0,0,2,Software tools
gwt-bootstrap,0,0,2,Web libraries and frameworks
ScreenSlicer,2,0,0,Application
CircularReveal,0,0,1,Application
jackson-dataformat-xml,0,0,1,Non-web libraries and frameworks
vlcj,0,0,1,Non-web libraries and frameworks
Java-Lang,0,0,1,Non-web libraries and frameworks
openiot,0,1,0,System Software
morphia,0,0,1,Non-web libraries and frameworks
vk-android-sdk,0,0,1,Non-web libraries and frameworks
jackson-annotations,0,1,0,Non-web libraries and frameworks
groovy-core,1,2,144,Software tools
incubator-groovy,1,3,144,Non-web libraries and frameworks
maven,2,14,32,Software tools
jeromq,2,0,3,Non-web libraries and frameworks
onos,0,1,8,System Software
jackrabbit-oak,0,0,4,System Software
UltimateAndroid,0,0,20,Non-web libraries and frameworks
ReactFX,0,5,8,Non-web libraries and frameworks
caelum-stella,0,1,4,Web libraries and frameworks
Bukkit,0,15,86,Non-web libraries and frameworks
h-store,0,0,12,System Software
MinecraftForge,1,3,12,Software tools
RustDT,0,2,1,Software tools
immutables,0,0,3,Non-web libraries and frameworks
gatk,1,0,4,Non-web libraries and frameworks
BungeeCord,0,1,4,System Software
core,0,2,2,Web libraries and frameworks
goclipse,0,2,1,Application
hibernate-ogm,1,0,1,Non-web libraries and frameworks
java-cas-client,1,0,0,Web libraries and frameworks
ExtrabiomesXL,0,0,1,Software tools
pi4j,0,0,1,Non-web libraries and frameworks
httpclient,0,0,1,Web libraries and frameworks
querydsl,0,0,1,Non-web libraries and frameworks
mage,0,0,1,Application
ols,0,0,1,Application
antlr3,0,0,1,Software tools
webprotege,0,1,1,Software tools
eurekastreams,0,2,0,Web libraries and frameworks
wildfly,1,9,10,System Software
drools,0,3,6,Application
xmemcached,0,1,2,Non-web libraries and frameworks
docker-plugin,3,0,3,Application
hazelcast,0,2,15,Non-web libraries and frameworks
hive,1,5,17,Software tools
libjitsi,0,0,1,Non-web libraries and frameworks
boon,0,0,1,Software tools
guacamole-client,0,1,0,Web libraries and frameworks
egit-github,0,0,1,Non-web libraries and frameworks
bson4jackson,0,1,0,Software tools
Java-Chronicle,0,0,1,Non-web libraries and frameworks
jsprit,0,2,5,Non-web libraries and frameworks
undertow,0,1,7,System Software
incubator-calcite,0,1,13,Non-web libraries and frameworks
docx4j,6,5,4,Non-web libraries and frameworks
Twidere-Android,0,0,2,Application
checkstyle,0,9,11,Software tools
voldemort,0,1,4,Application
Tweetin,0,0,3,Application
jdbi,0,2,1,Non-web libraries and frameworks
tachyon,0,0,1,Application
KJFrameForAndroid,0,0,1,Non-web libraries and frameworks
eclipsefp,0,5,0,Application
processing-android,2,0,0,Non-web libraries and frameworks
spring-data-neo4j,0,5,0,Non-web libraries and frameworks
airlift,0,2,1,Non-web libraries and frameworks
jitsi,0,0,2,Application
appfuse,1,0,0,Web libraries and frameworks
Rythm,0,0,1,Software tools
drill,0,0,4,Software tools
repose,0,1,3,Software tools
mahout,0,1,5,Software tools
BuildCraft,0,0,2,Application
multibit,0,0,1,Application
uaa,0,0,1,System Software
Essentials,0,0,2,System Software
cloudstack,0,4,1,Software tools
idea-php-symfony2-plugin,0,0,1,Application
phonegap-app-developer,0,1,4,Web libraries and frameworks
BiomesOPlenty,0,1,1,Application
box2dlights,0,0,1,Non-web libraries and frameworks
giraph,0,0,1,Software tools
keycloak,0,0,3,Software tools
jstorm,0,0,2,Software tools
Metamorphosis,0,1,0,Application
bither-android,0,1,0,Application
error-prone,0,0,1,Software tools
mcMMO,0,0,3,Application
phonegap-facebook-plugin,0,2,4,Application
spatial4j,0,1,0,Non-web libraries and frameworks
evernote-sdk-android,1,6,2,System Software
stratio-cassandra,0,2,7,Software tools
astrid,0,2,3,Application
socialize-sdk-android,0,1,3,System Software
mopub-android-sdk,0,3,3,System Software
bnd,1,0,1,Software tools
oozie,0,0,1,Software tools
stripe-java,0,0,3,Non-web libraries and frameworks
ANE-Facebook,0,1,0,System Software
pinpoint,0,1,0,Software tools
vraptor4,0,0,1,Web libraries and frameworks
