project,url,stars,whatchers,contributors,forks,size,releases,NOF,branches,duration,avgTime,commits,files_contributor,APIs_contributor ,quantFields_last,quantElements_last,quantFieldsDeprecated_last,quantFieldsDeprecatedWithRelMessage_last,quantTypes_last,quantTypesDeprecated_last,quantTypesDeprecatedWithRelMessage_last,quantMethods_last,quantMethodsDeprecated_last,quantMethodsDeprecatedWithRelMessage_last,quantElements_last,quantElementsDeprecated_last,quantElementsDeprecatedWithRelMessage_last,perc_quantElementsDeprecatedWithRelMessage_last,perc_quantElementsDeprecated_last,avgPopularity,avgSize,avgCommunity,avgActivity,avgMaturity,avgAll,category,category2
logback,git://github.com/qos-ch/logback.git,518,76,76,368,38736,54,1743,33,3312,61.3333333333,3422,22.9342105263,121.8421052632,2045,9260,0,0,1173,0,0,6042,6,6,9260,6,6,100,0.0647948164,259.5,3342.6666666667,73.5921052632,72.3881578947,3312,1412.0293859649,Non-web libraries and frameworks,Library
GLWallpaperService,git://github.com/markfguerra/GLWallpaperService.git,170,24,6,84,717,8,51,6,835,104375,132,8.5,26.3333333333,18,158,0,0,28,5,5,112,0,0,158,5,5,100,3.164556962,71,16706.3333333333,13.6111111111,17.4166666667,835,3528.6722222222,Non-web libraries and frameworks,Library
CLAVIN,git://github.com/Berico-Technologies/CLAVIN.git,147,42,12,54,49864,11,97,12,935,85,219,8.0833333333,35.3333333333,37,424,0,0,55,2,2,332,3,3,424,5,5,100,1.179245283,63.75,2264.3333333333,18.4722222222,21.7083333333,935,660.6527777778,Non-web libraries and frameworks,Library
Yaaic,git://github.com/pocmo/Yaaic.git,203,22,19,91,6101,13,268,3,2275,175,1023,14.1052631579,61.1052631579,260,1161,0,0,112,0,0,789,5,5,1161,5,5,100,0.4306632214,83.75,3137.3333333333,31.4035087719,37.6052631579,2275,1113.0184210526,Application,Non-library
feign,git://github.com/Netflix/feign.git,530,190,28,106,8109,52,142,14,1236,23.7692307692,353,5.0714285714,44.9285714286,102,1258,0,0,237,0,0,919,5,5,1258,5,5,100,0.3974562798,213.5,12571.3333333333,26,25,1236,2814.3666666667,Web libraries and frameworks,Library
NotePad,git://github.com/spacecowboy/NotePad.git,287,26,15,120,35583,88,873,11,1249,14.1931818182,1340,58.2,238.0666666667,1003,3571,0,0,284,0,0,2284,5,5,3571,5,5,100,0.140016802,112,1521.3333333333,103.7555555556,148.1333333333,1249,626.8444444444,Application,Non-library
xssValidator,git://github.com/nVisium/xssValidator.git,105,39,4,25,860,6,133,7,407,67.8333333333,87,33.25,93,90,372,0,0,40,1,1,242,3,3,372,4,4,100,1.0752688172,43.25,12677,43.4166666667,63125,407,2646.7583333333,Application,Non-library
photup,git://github.com/chrisbanes/photup.git,739,70,1,271,37229,33,430,2,379,11.4848484848,572,430,1105,147,1105,1,1,126,0,0,832,3,3,1105,4,4,100,0.3619909502,270.25,13978.3333333333,512,767.5,379,3181.4166666667,Application,Non-library
red5-server,git://github.com/Red5/red5-server.git,316,75,9,142,40545,5,285,2,634,126.8,187,31.6666666667,146.8888888889,143,1322,0,0,152,0,0,1027,4,4,1322,4,4,100,0.3025718608,135.5,7548,62.5185185185,89.2777777778,634,1693.8592592593,System Software,Non-library
selendroid,git://github.com/selendroid/selendroid.git,387,115,44,253,20763,18,559,5,931,51.7222222222,1196,12.7045454545,78.3863636364,411,3449,0,0,437,4,4,2601,0,0,3449,4,4,100,0.1159756451,199.75,10823.6666666667,45.0303030303,45.5454545455,931,2408.9984848485,Non-web libraries and frameworks,Library
jbox2d,git://github.com/jbox2d/jbox2d.git,213,50,11,80,28745,16,277,5,2793,174.5625,721,25.1818181818,440.3636363636,1140,4844,0,0,312,0,0,3392,4,4,4844,4,4,100,0.0825763832,88.5,4704,158.8484848485,232.7727272727,2793,1595.4242424243,Non-web libraries and frameworks,Library
caffeine,git://github.com/ben-manes/caffeine.git,255,31,6,11,8917,6,351,3,248,41.3333333333,614,58.5,889.1666666667,852,5335,0,0,492,0,0,3991,4,4,5335,4,4,100,0.0749765698,75.75,3160,317.8888888889,473.8333333333,248,855.0944444444,Non-web libraries and frameworks,Library
functionaljava,git://github.com/functionaljava/functionaljava.git,512,63,29,88,3792,8,353,10,1756,219.5,597,12.1724137931,235.724137931,515,6836,0,0,320,0,0,6001,4,4,6836,4,4,100,0.0585137507,173,18916,92.2988505747,123.9482758621,1756,4212.2494252874,Non-web libraries and frameworks,Library
spring-security,git://github.com/spring-projects/spring-security.git,784,196,65,1074,47656,67,2256,23,4174,62.2985074627,5461,34.7076923077,168.5846153846,597,10958,0,0,1717,3,3,8644,1,1,10958,4,4,100,0.0365030115,529.75,147347,89.4307692308,101.6461538462,4174,30448.3653846154,Non-web libraries and frameworks,Library
Jnario,git://github.com/sebastianbenz/Jnario.git,121,19,8,34,429269,20,1814,13,1161,58.05,1301,226.75,4936.75,20378,39494,0,0,1334,0,0,17782,4,4,39494,4,4,100,0.0101281207,45.5,14016.3333333333,1723.8333333333,2581.75,1161,3905.6833333333,Non-web libraries and frameworks,Library
ErrorView,git://github.com/xiprox/ErrorView.git,384,17,2,62,2508,4,47,2,170,42.5,47,23.5,50.5,27,101,0,0,6,0,0,68,3,3,101,3,3,100,2.9702970297,116.25,661.6666666667,25.3333333333,37,170,202.05,Non-web libraries and frameworks,Library
tape,git://github.com/square/tape.git,1125,115,18,170,1816,7,68,10,1726,246.5714285714,165,3.7777777778,13.6111111111,23,245,0,0,33,1,1,189,2,2,245,3,3,100,1.2244897959,357,924.3333333333,11.7962962963,8.6944444444,1726,605.5648148148,Non-web libraries and frameworks,Library
java-apns,git://github.com/notnoop/java-apns.git,1057,183,26,428,2442,18,86,4,1964,109.1111111111,451,3.3076923077,30.5384615385,77,794,0,0,89,1,1,628,2,2,794,3,3,100,0.3778337531,423.5,2194.3333333333,19.9487179487,16.9230769231,1964,923.741025641,Web libraries and frameworks,Library
karyon,git://github.com/Netflix/karyon.git,228,213,20,108,5571,62,218,9,1250,20.1612903226,516,10.9,58.95,96,1179,1,1,209,1,1,874,1,1,1179,3,3,100,0.2544529262,142.25,2055.6666666667,29.95,34925,1250,702.5583333333,Non-web libraries and frameworks,Library
asynchbase,git://github.com/OpenTSDB/asynchbase.git,350,58,14,183,4852,10,136,3,1709,170.9,334,9.7142857143,84.6428571429,82,1185,0,0,134,0,0,969,3,3,1185,3,3,100,0.253164557,151.25,17596.3333333333,36.119047619,47.1785714286,1709,3907.9761904762,Non-web libraries and frameworks,Library
parboiled,git://github.com/sirthias/parboiled.git,797,69,10,86,51294,39,310,3,1953,50.0769230769,636,31,275.8,222,2758,0,0,321,0,0,2215,3,3,2758,3,3,100,0.1087744743,240.5,7825,105.6,153.4,1953,2055.5,Software tools,Non-library
spock,git://github.com/spockframework/spock.git,731,89,23,145,19919,19,798,11,3083,162.2631578947,2105,34.6956521739,137.347826087,204,3159,0,0,401,0,0,2554,3,3,3159,3,3,100,0.0949667616,247,2067.3333333333,65.0144927536,86.0217391304,3083,1109.6739130435,Non-web libraries and frameworks,Library
Android-Next,git://github.com/mcxiaoke/Android-Next.git,226,21,2,67,2694,18,349,7,676,37.5555555556,356,174.5,1763,427,3526,0,0,267,0,0,2832,3,3,3526,3,3,100,0.0850822462,79,8462.6666666667,646.5,968.75,676,2166.5833333333,Non-web libraries and frameworks,Library
jolokia,git://github.com/rhuss/jolokia.git,265,43,18,78,21123,26,739,13,1822,70.0769230769,1294,41.0555555556,208.6111111111,102,3755,0,0,488,0,0,3165,3,3,3755,3,3,100,0.0798934754,101,3512,89.2222222222,124.8333333333,1822,1129.8111111111,Web libraries and frameworks,Library
httl,git://github.com/httl/httl.git,174,62,6,101,6206,13,575,4,976,75.0769230769,670,95.8333333333,658.5,170,3951,0,0,330,3,3,3451,0,0,3951,3,3,100,0.0759301443,85.75,6240.3333333333,253.4444444444,377.1666666667,976,1586.5388888889,Software tools,Non-library
twitter4j,git://github.com/yusuke/twitter4j.git,1580,189,200,736,14082,40,688,8,2982,74.55,2060,3.44,26.12,194,5224,0,0,414,1,1,4616,2,2,5224,3,3,100,0.0574272588,676.25,113217,76.52,14.78,2982,23393.31,Non-web libraries and frameworks,Library
carrot2,git://github.com/carrot2/carrot2.git,204,32,3,89,332478,41,1949,14,4413,107.6341463415,4615,649.6666666667,1999.3333333333,1060,5998,1,1,820,1,1,4118,1,1,5998,3,3,100,0.0500166722,82,121087.666666667,884,1324.5,4413,25558.2333333333,Application,Non-library
fabric8,git://github.com/fabric8io/fabric8.git,373,90,77,249,355442,145,1823,21,1590,10.9655172414,11547,23.6753246753,115.2337662338,963,8873,0,0,958,0,0,6952,3,3,8873,3,3,100,0.0338104362,197.25,80861.6666666667,71.9696969697,69.4545454545,1590,16558.0681818182,Application,Non-library
FBReaderJ,git://github.com/geometer/FBReaderJ.git,900,113,31,579,231290,391,2422,46,2874,7.3503836317,8795,78.1290322581,328.2258064516,1577,10175,0,0,1078,0,0,7520,3,3,10175,3,3,100,0.0294840295,405.75,4309.6666666667,145.7849462366,203.1774193548,2874,1587.6758064516,Application,Non-library
telescope,git://github.com/mattprecious/telescope.git,501,25,6,41,2691,5,63,2,281,56.2,49,10.5,20,8,120,0,0,17,0,0,95,2,2,120,2,2,100,1.6666666667,143.25,435.6666666667,12.1666666667,15.25,281,177.4666666667,Application,Non-library
play-pac4j,git://github.com/pac4j/play-pac4j.git,157,27,11,37,1163,15,24,7,1011,67.4,178,2.1818181818,11.7272727273,4,129,0,0,13,2,2,112,0,0,129,2,2,100,1.5503875969,58,1582,8.303030303,6.9545454545,1011,533.2515151515,Web libraries and frameworks,Library
WizarDroid,git://github.com/Nimrodda/WizarDroid.git,130,16,6,46,4560,7,57,4,923,131.8571428571,134,9.5,25.8333333333,5,155,0,0,26,0,0,124,2,2,155,2,2,100,1.2903225806,49.5,399,13.7777777778,17.6666666667,923,280.5888888889,Non-web libraries and frameworks,Library
spring-elasticsearch,git://github.com/dadoonet/spring-elasticsearch.git,154,31,7,61,902,10,140,6,1141,114.1,130,20,26.7142857143,28,187,0,0,39,0,0,120,2,2,187,2,2,100,1.0695187166,63.25,271,17.9047619048,23.3571428571,1141,303.3023809524,Non-web libraries and frameworks,Library
hibernate-memcached,git://github.com/raykrueger/hibernate-memcached.git,106,24,6,83,581,6,45,4,2566,427.6666666667,142,7.5,45.6666666667,58,274,0,0,25,2,2,191,0,0,274,2,2,100,0.7299270073,54.75,970,19.7222222222,26.5833333333,2566,727.4111111111,Non-web libraries and frameworks,Library
restcountries,git://github.com/fayder/restcountries.git,327,17,5,28,2588,13,48,3,550,42.3076923077,492,9.6,55,6,275,0,0,21,0,0,248,2,2,275,2,2,100,0.7272727273,94.25,918.3333333333,23.2,32.3,550,323.6166666667,Non-web libraries and frameworks,Library
snappy,git://github.com/dain/snappy.git,234,25,8,41,2429,3,51,3,1398,466,59,6375,42125,30,337,0,0,31,2,2,276,0,0,337,2,2,100,0.5934718101,77,1538.3333333333,18.8333333333,24.25,1398,611.2833333333,Non-web libraries and frameworks,Library
changeloglib,git://github.com/gabrielemariotti/changeloglib.git,635,39,5,98,4124,8,154,3,664,83,89,30.8,95.2,122,476,0,0,54,0,0,300,2,2,476,2,2,100,0.4201680672,194.25,666.6666666667,43.6666666667,63,664,326.3166666667,Non-web libraries and frameworks,Library
obd-java-api,git://github.com/pires/obd-java-api.git,100,23,12,70,1436,17,88,2,682,40.1176470588,143,7.3333333333,40.8333333333,12,490,0,0,79,0,0,399,2,2,490,2,2,100,0.4081632653,51.25,2528,20.0555555556,24.0833333333,682,661.0777777778,Non-web libraries and frameworks,Library
spring,git://github.com/mybatis/spring.git,281,105,12,290,6917,12,177,5,1813,151.0833333333,863,14.75,41.8333333333,9,502,0,0,90,0,0,403,2,2,502,2,2,100,0.3984063745,172,543.3333333333,22.8611111111,28.2916666667,1813,515.8972222222,Non-web libraries and frameworks,Library
fixture-factory,git://github.com/six2six/fixture-factory.git,104,38,15,42,1006,4,122,2,1565,391.25,254,8.1333333333,44.9333333333,7,674,0,0,123,0,0,544,2,2,674,2,2,100,0.296735905,49.75,715.6666666667,22.6888888889,26.5333333333,1565,475.9277777778,Software tools,Non-library
java-api-wrapper,git://github.com/soundcloud/java-api-wrapper.git,144,135,7,88,1422,9,51,7,1063,118.1111111111,295,7.2857142857,101.7142857143,180,712,0,0,57,0,0,475,2,2,712,2,2,100,0.2808988764,93.5,4329.6666666667,38.6666666667,54.5,1063,1115.8666666667,Non-web libraries and frameworks,Library
elasticsearch-jdbc,git://github.com/jprante/elasticsearch-jdbc.git,958,105,29,293,12031,69,246,14,1149,16.652173913,366,8.4827586207,39.0344827586,115,1132,0,0,89,0,0,928,2,2,1132,2,2,100,0.1766784452,346.25,15468.3333333333,25.5057471264,23.7586206897,1149,3402.5695402299,Non-web libraries and frameworks,Library
simpletask-android,git://github.com/mpcjanssen/simpletask-android.git,124,28,13,49,44919,190,354,18,890,4.6842105263,1609,27.2307692308,99.8461538462,162,1298,0,0,123,0,0,1013,2,2,1298,2,2,100,0.1540832049,53.5,1076.6666666667,46.6923076923,63.5384615385,890,426.0794871795,Application,Non-library
spring-data-document-examples,git://github.com/spring-projects/spring-data-document-examples.git,135,64,4,100,1585,4,347,2,330,82.5,45,86.75,345.5,119,1382,0,0,142,0,0,1121,2,2,1382,2,2,100,0.1447178003,75.75,15711.6666666667,145.4166666667,216125,330,3295.7916666667,Application,Non-library
hppc,git://github.com/carrotsearch/hppc.git,171,29,1,34,45606,19,147,10,1903,100.1578947368,468,147,1406,147,1406,0,0,145,0,0,1114,2,2,1406,2,2,100,0.1422475107,58.75,1546.6666666667,518,776.5,1903,960.5833333333,Non-web libraries and frameworks,Library
cloudhopper-smpp,git://github.com/twitter/cloudhopper-smpp.git,292,220,13,149,3069,17,165,5,1584,93.1764705882,135,12.6923076923,145.4615384615,335,1891,1,1,170,0,0,1386,1,1,1891,2,2,100,0.105764146,168.5,3249,57.0512820513,79.0769230769,1584,1027.5256410256,Non-web libraries and frameworks,Library
memcached-session-manager,git://github.com/magro/memcached-session-manager.git,279,52,14,152,7649,27,207,20,2318,85.8518518519,534,14.7857142857,167.8571428571,150,2350,0,0,249,0,0,1951,2,2,2350,2,2,100,0.085106383,124.25,81057.3333333333,65.5476190476,91.3214285714,2318,16731.2904761905,Software tools,Non-library
java,git://github.com/pubnub/java.git,140,81,8,290,240424,13,398,44,910,70,562,49.75,294875,289,2359,0,0,184,0,0,1886,2,2,2359,2,2,100,0.0847816872,129.75,17519,117.5416666667,172.3125,910,3769.7208333333,Non-web libraries and frameworks,Library
android-bankdroid,git://github.com/liato/android-bankdroid.git,231,33,37,155,49613,41,585,7,1916,46.7317073171,1124,15.8108108108,64.3513513514,321,2381,0,0,261,0,0,1799,2,2,2381,2,2,100,0.08399832,114,50818.6666666667,39.0540540541,40.0810810811,1916,10585.5603603604,Application,Non-library
mapbox-android-sdk,git://github.com/mapbox/mapbox-android-sdk.git,433,154,48,175,148472,12,1603,22,640,53.3333333333,2005,33.3958333333,53.3125,274,2559,0,0,232,1,1,2053,1,1,2559,2,2,100,0.0781555295,202.5,4147.6666666667,44.9027777778,43.3541666667,640,1015.6847222222,System Software,Non-library
java-memcached-client,git://github.com/dustin/java-memcached-client.git,394,63,29,247,9572,93,312,7,2647,28.4623655914,961,10.7586206897,97.5172413793,216,2828,0,0,289,0,0,2323,2,2,2828,2,2,100,0.0707213579,183.25,3833.3333333333,45.7586206897,54.1379310345,2647,1352.6959770115,Non-web libraries and frameworks,Library
swift,git://github.com/facebook/swift.git,399,95,20,156,8267,38,405,7,1183,31.1315789474,496,20.25,159.75,264,3195,0,0,423,0,0,2508,2,2,3195,2,2,100,0.0625978091,167.5,24153.3333333333,66.6666666667,90,1183,5132.1,Non-web libraries and frameworks,Library
ChatSecureAndroid,git://github.com/guardianproject/ChatSecureAndroid.git,837,145,31,461,68011,112,1254,10,1949,17.4017857143,2868,40.4516129032,154.935483871,1271,4803,0,0,370,0,0,3162,2,2,4803,2,2,100,0.0416406413,368.5,6755.6666666667,75.4623655914,97.6935483871,1949,1849.264516129,Application,Non-library
todo.txt-android,git://github.com/ginatrapani/todo.txt-android.git,947,88,26,415,14237,17,1227,3,1377,81,460,47.1923076923,189.0769230769,450,4916,0,0,442,0,0,4024,2,2,4916,2,2,100,0.0406834825,369,10347.3333333333,87.4230769231,118.1346153846,1377,2459.7782051282,Application,Non-library
live-chat-engine,git://github.com/edolganov/live-chat-engine.git,156,24,3,25,25076,4,1050,2,122,30.5,22,350,1822.3333333333,1046,5467,0,0,769,0,0,3652,2,2,5467,2,2,100,0.0365831352,52,4021.3333333333,725.1111111111,1086.1666666667,122,1201.3222222222,Application,Non-library
facebook4j,git://github.com/roundrop/facebook4j.git,151,30,9,73,5971,26,626,3,1045,40.1923076923,514,69.5555555556,632.7777777778,107,5695,0,0,634,0,0,4954,2,2,5695,2,2,100,0.035118525,65.75,2702.3333333333,237.1111111111,351.1666666667,1045,880.2722222222,Non-web libraries and frameworks,Library
android-sqlite-asset-helper,git://github.com/jgilfelt/android-sqlite-asset-helper.git,1234,108,4,314,2361,4,51,4,1093,273.25,69,12.75,11.75,0,47,0,0,10,0,0,37,1,1,47,1,1,100,2.1276595745,415,512.3333333333,9.5,12.25,1093,408.4166666667,Software tools,Non-library
audio-wife,git://github.com/jaydeepw/audio-wife.git,125,12,1,39,1413,4,77,4,184,46,81,77,63,1,63,0,0,6,0,0,56,1,1,63,1,1,100,1.5873015873,44.25,250.6666666667,47,70,184,119.1833333333,Non-web libraries and frameworks,Library
GoogleAuth,git://github.com/wstrange/GoogleAuth.git,129,28,3,57,664,9,25,3,1228,136.4444444444,139,8.3333333333,26,4,78,0,0,12,0,0,62,1,1,78,1,1,100,1.2820512821,54.25,1344,12.4444444444,17.1666666667,1228,531.1722222222,Non-web libraries and frameworks,Library
MaterialSpinner,git://github.com/ganfra/MaterialSpinner.git,295,15,2,54,3917,4,37,2,42,10.5,30,18.5,41.5,6,83,0,0,5,0,0,72,1,1,83,1,1,100,1.2048192771,91.5,876.6666666667,20.6666666667,30,42,212.1666666667,Application,Non-library
thymeleaf-layout-dialect,git://github.com/ultraq/thymeleaf-layout-dialect.git,167,28,5,21,2480,22,67,5,1123,51.0454545455,218,13.4,19.6,16,98,0,0,17,1,1,65,0,0,98,1,1,100,1.0204081633,55.25,241.3333333333,12.6666666667,16.5,1123,289.75,Web libraries and frameworks,Library
jenkins-gitlab-merge-request-builder-plugin,git://github.com/timols/jenkins-gitlab-merge-request-builder-plugin.git,190,22,21,77,602,9,24,2,823,91.4444444444,123,1.1428571429,5.7142857143,1,120,0,0,11,0,0,108,1,1,120,1,1,100,0.8333333333,77.5,486.3333333333,9.2857142857,3.4285714286,823,279.9095238095,Application,Non-library
Android-BitmapCache,git://github.com/chrisbanes/Android-BitmapCache.git,763,69,2,226,1302,8,37,3,398,49.75,142,18.5,86.5,23,173,0,0,28,0,0,122,1,1,173,1,1,100,0.5780346821,265,426.3333333333,35.6666666667,52.5,398,235.5,Non-web libraries and frameworks,Library
guava-retrying,git://github.com/rholder/guava-retrying.git,168,22,7,30,1078,9,28,4,1039,115.4444444444,102,4,31.8571428571,6,223,0,0,38,0,0,179,1,1,223,1,1,100,0.4484304933,56.75,1048.3333333333,14.2857142857,17.9285714286,1039,435.2595238095,Non-web libraries and frameworks,Library
multi-thread-context,git://github.com/alibaba/multi-thread-context.git,139,40,2,76,2870,13,52,4,618,47.5384615385,247,26,113.5,32,227,0,0,31,1,1,164,0,0,227,1,1,100,0.4405286344,64.25,696,47.1666666667,69.75,618,299.0333333333,Non-web libraries and frameworks,Library
material-menu,git://github.com/balysv/material-menu.git,1590,96,4,374,1775,18,86,2,324,18,107,21.5,59,11,236,0,0,24,0,0,201,1,1,236,1,1,100,0.4237288136,516,381.6666666667,28.1666666667,40.25,324,258.0166666667,Non-web libraries and frameworks,Library
liblinear-java,git://github.com/bwaldvogel/liblinear-java.git,149,29,4,66,869,10,40,4,2469,246.9,113,10,68,32,272,0,0,27,0,0,213,1,1,272,1,1,100,0.3676470588,62,1224,27.3333333333,39,2469,764.2666666667,Non-web libraries and frameworks,Library
maven-gae-plugin,git://github.com/maven-gae-plugin/maven-gae-plugin.git,127,23,14,41,3232,5,168,6,1660,332,359,12,22.9285714286,48,321,1,1,63,0,0,210,0,0,321,1,1,100,0.3115264798,51.25,2155.6666666667,16.3095238095,17.4642857143,1660,780.1380952381,Software tools,Non-library
Android-Iconics,git://github.com/mikepenz/Android-Iconics.git,440,25,7,71,6013,24,133,5,293,12.2083333333,262,19,53,11,371,0,0,32,0,0,328,1,1,371,1,1,100,0.269541779,135.75,9135.3333333333,26.3333333333,36,293,1925.2833333333,Non-web libraries and frameworks,Library
snappy-java,git://github.com/xerial/snappy-java.git,216,36,19,71,26935,44,100,12,1595,36.25,646,5.2631578947,20.7368421053,59,394,0,0,29,1,1,306,0,0,394,1,1,100,0.2538071066,85.5,536.6666666667,15,13,1595,449.0333333333,Application,Non-library
netflix-graph,git://github.com/Netflix/netflix-graph.git,298,236,2,49,1149,9,67,3,887,98.5555555556,47,33.5,209.5,19,419,0,0,55,0,0,345,1,1,419,1,1,100,0.2386634845,146.25,585.6666666667,81.6666666667,121.5,887,364.4166666667,Non-web libraries and frameworks,Library
Paginize,git://github.com/neevek/Paginize.git,302,26,1,41,1252,8,86,3,506,63.25,120,86,428,9,428,1,1,42,0,0,377,0,0,428,1,1,100,0.2336448598,92.5,1100,171.6666666667,257,506,425.4333333333,Non-web libraries and frameworks,Library
webimageloader,git://github.com/lexs/webimageloader.git,107,20,3,23,2699,9,173,5,305,33.8888888889,327,57.6666666667,195,28,585,0,0,87,0,0,470,1,1,585,1,1,100,0.1709401709,38.25,3475.3333333333,85.2222222222,126.3333333333,305,806.0277777778,Non-web libraries and frameworks,Library
jasmine-maven-plugin,git://github.com/searls/jasmine-maven-plugin.git,281,30,24,152,9579,21,262,5,1871,89.0952380952,597,10.9166666667,25.0416666667,59,601,1,1,82,0,0,460,0,0,601,1,1,100,0.1663893511,121.75,1872,19.9861111111,17.9791666667,1871,780.5430555556,Software tools,Non-library
jsonld-java,git://github.com/jsonld-java/jsonld-java.git,130,37,17,66,3935,9,1080,2,1183,131.4444444444,540,63.5294117647,41.7058823529,147,709,0,0,72,0,0,490,1,1,709,1,1,100,0.1410437236,62.5,903,40.7450980392,52.6176470588,1183,448.3725490196,Non-web libraries and frameworks,Library
htmlelements,git://github.com/yandex-qatools/htmlelements.git,115,37,13,58,1872,7,128,6,1042,148.8571428571,429,9.8461538462,55.3846153846,56,720,0,0,122,0,0,542,1,1,720,1,1,100,0.1388888889,55.75,6348.3333333333,26.0769230769,32.6153846154,1042,1500.9551282051,Web libraries and frameworks,Library
m2e-android,git://github.com/rgladwell/m2e-android.git,353,33,18,73,18024,14,301,4,2072,148,808,16.7222222222,42.1111111111,15,758,0,0,137,0,0,606,1,1,758,1,1,100,0.1319261214,119.25,19969.3333333333,25.6111111111,29.4166666667,2072,4443.1222222222,Software tools,Non-library
seyren,git://github.com/scobal/seyren.git,550,60,29,142,58991,5,159,3,1197,239.4,585,5.4827586207,26.1724137931,13,759,0,0,94,0,0,652,1,1,759,1,1,100,0.1317523057,195.25,1363.6666666667,20.2183908046,15.8275862069,1197,558.3925287356,Software tools,Non-library
libgdx-contribs,git://github.com/manuelbua/libgdx-contribs.git,133,30,4,38,3224,7,108,4,1020,145.7142857143,161,27,192.5,98,770,0,0,51,1,1,621,0,0,770,1,1,100,0.1298701299,51.25,1390,74.5,109.75,1020,529.1,Non-web libraries and frameworks,Library
dynalink,git://github.com/szegedi/dynalink.git,158,22,3,10,3292,6,108,3,1667,277.8333333333,362,36,286.6666666667,33,860,0,0,129,0,0,698,1,1,860,1,1,100,0.1162790698,48.25,142856.333333333,108.5555555556,161.3333333333,1667,28968.2944444444,Non-web libraries and frameworks,Library
HearthStats.net-Uploader,git://github.com/HearthStats/HearthStats.net-Uploader.git,141,25,16,76,427355,84,354,20,500,5.9523809524,1276,22125,56375,241,902,0,0,109,0,0,552,1,1,902,1,1,100,0.110864745,64.5,660.6666666667,31.5,39.25,500,259.1833333333,Application,Non-library
spring-retry,git://github.com/spring-projects/spring-retry.git,112,25,7,38,953,12,127,2,1421,118.4166666667,74,18.1428571429,132.8571428571,35,930,0,0,165,1,1,730,0,0,930,1,1,100,0.1075268817,45.5,2026.3333333333,52.6666666667,75.5,1421,724.2,Non-web libraries and frameworks,Library
world,git://github.com/openproject/world.git,103,19,1,157,4430,3,719,6,346,115.3333333333,161,719,933,194,933,0,0,113,0,0,626,1,1,933,1,1,100,0.1071811361,70,2274.3333333333,551,826,346,813.4666666667,Application,Non-library
v2ex-daily-android,git://github.com/kyze8439690/v2ex-daily-android.git,383,27,2,106,5698,6,192,4,375,62.5,62,96,475.5,118,951,0,0,94,0,0,739,1,1,951,1,1,100,0.1051524711,129.5,695.3333333333,191.1666666667,285.75,375,335.35,Non-web libraries and frameworks,Library
Transitions-Everywhere,git://github.com/andkulikov/Transitions-Everywhere.git,759,44,3,91,1058,10,77,2,621,62.1,127,25.6666666667,345,130,1035,0,0,95,0,0,810,1,1,1035,1,1,100,0.0966183575,224.25,1581,124.5555555556,185.3333333333,621,547.2277777778,Non-web libraries and frameworks,Library
EverMemo,git://github.com/daimajia/EverMemo.git,437,37,1,173,3542,12,166,2,310,25.8333333333,96,166,1053,179,1053,0,0,73,0,0,801,1,1,1053,1,1,100,0.0949667616,162,2408.3333333333,406.6666666667,609.5,310,779.3,Application,Non-library
librec,git://github.com/guoguibing/librec.git,130,28,2,75,6034,3,138,3,566,188.6666666667,717,69,637.5,205,1275,0,0,103,0,0,967,1,1,1275,1,1,100,0.0784313725,58.75,2680,236.1666666667,353.25,566,778.8333333333,Non-web libraries and frameworks,Library
pebble,git://github.com/mbosecke/pebble.git,149,23,14,22,6508,25,257,3,954,38.16,490,18.3571428571,98.8571428571,42,1384,0,0,213,1,1,1129,0,0,1384,1,1,100,0.0722543353,52,3102,43.7380952381,58.6071428571,954,842.069047619,Non-web libraries and frameworks,Library
prevayler,git://github.com/jsampson/prevayler.git,189,32,7,22,7633,28,289,7,4683,167.25,610,41.2857142857,203.2857142857,54,1423,0,0,238,0,0,1131,1,1,1423,1,1,100,0.0702740689,62.5,3565,83.8571428571,122.2857142857,4683,1703.3285714286,Non-web libraries and frameworks,Library
floobits-intellij,git://github.com/Floobits/floobits-intellij.git,113,2,4,3,9057,38,215,37,680,17.8947368421,974,53.75,363.75,308,1455,0,0,178,0,0,969,1,1,1455,1,1,100,0.0687285223,30.5,3747,140.5,208.75,680,961.35,Software tools,Non-library
AisenForAndroid,git://github.com/wangdan/AisenForAndroid.git,196,35,1,94,9588,4,198,3,313,78.25,93,198,1742,152,1742,0,0,167,0,0,1423,1,1,1742,1,1,100,0.0574052813,81.5,9552,647,970,313,2312.7,Non-web libraries and frameworks,Library
sdkexamples-android,git://github.com/easemob/sdkexamples-android.git,211,52,10,177,26371,19,543,26,763,40.1578947368,991,54.3,193.2,325,1932,0,0,165,1,1,1442,0,0,1932,1,1,100,0.0517598344,112.5,6622.6666666667,85.8333333333,123.75,763,1541.55,Application,Non-library
BarcodeScanner,git://github.com/wildabeast/BarcodeScanner.git,732,83,26,762,17460,28,476,5,1042,37.2142857143,200,18.3076923077,75.6153846154,117,1966,0,0,289,0,0,1560,1,1,1966,1,1,100,0.0508646999,400.75,2825,39.9743589744,46.9615384615,1042,870.9371794872,Application,Non-library
