project,url,stars,whatchers,contributors,forks,size,releases,NOF,branches,duration,avgTime,commits,files_contributor,APIs_contributor ,quantFields_last,quantElements_last,quantFieldsDeprecated_last,quantFieldsDeprecatedWithRelMessage_last,quantTypes_last,quantTypesDeprecated_last,quantTypesDeprecatedWithRelMessage_last,quantMethods_last,quantMethodsDeprecated_last,quantMethodsDeprecatedWithRelMessage_last,quantElements_last,quantElementsDeprecated_last,quantElementsDeprecatedWithRelMessage_last,perc_quantElementsDeprecatedWithRelMessage_last,perc_quantElementsDeprecated_last,avgPopularity,avgSize,avgCommunity,avgActivity,avgMaturity,avgAll,category,category2
libgdx,git://github.com/libgdx/libgdx.git,6839,918,400,4051,1008836,29,4384,2,1994,68.7586206897,11463,10.96,121425,8458,48570,4,3,2657,3,1,37455,20,17,48570,27,21,77.7777777778,0.0555898703,3052,16938,177.4616666667,66.1925,1994,4445.5308333333,Non-web libraries and frameworks,Library
MaterialEditText,git://github.com/rengwuxian/MaterialEditText.git,1948,126,13,397,2174,19,70,2,217,11.4210526316,227,5.3846153846,34.6923076923,34,451,0,0,12,0,0,405,9,6,451,9,6,66.6666666667,1.9955654102,621,1398.3333333333,17.6923076923,20.0384615385,217,454.8128205128,Non-web libraries and frameworks,Library
stetho,git://github.com/facebook/stetho.git,3088,183,20,255,3482,4,262,4,203,50.75,263,13.1,108.4,287,2168,0,0,385,0,0,1496,3,2,2168,3,2,66.6666666667,0.1383763838,886.5,164925.333333333,47.1666666667,60.75,203,33224.55,Non-web libraries and frameworks,Library
neo4j,git://github.com/neo4j/neo4j.git,1885,238,200,731,482110,118,10498,17,3011,25.5169491525,33623,52.49,264455,3323,52891,16,7,6154,96,55,43414,165,104,52891,277,166,59.9277978339,0.5237185911,763.5,54587,172315,158.4725,3011,11738.4575,Non-web libraries and frameworks,Library
guava,git://github.com/google/guava.git,4438,551,31,962,109067,56,1803,6,2253,40.2321428571,2994,58.1612903226,1402.7419354839,2354,43485,0,0,3947,8,8,37184,142,77,43485,150,85,56.6666666667,0.3449465333,1495.5,15983,497.3010752688,730.4516129032,2253,4191.8505376344,Non-web libraries and frameworks,Library
acra,git://github.com/ACRA/acra.git,2170,254,29,625,4388,15,76,9,1931,128.7333333333,606,2.6206896552,18.7931034483,62,545,0,0,61,0,0,422,2,1,545,2,1,50,0.3669724771,769.5,8961.3333333333,16.8045977011,10.7068965517,1931,2337.8689655173,Non-web libraries and frameworks,Library
dubbo,git://github.com/alibaba/dubbo.git,2179,714,10,2283,24647,42,1692,5,1259,29.9761904762,1799,169.2,1307.1,1447,13071,1,0,1467,3,1,10157,73,34,13071,77,35,45.4545454545,0.5890903527,1296.5,557047.333333333,495.4333333333,738.15,1259,112167.283333333,Non-web libraries and frameworks,Library
processing,git://github.com/processing/processing.git,2009,282,70,589,1657048,441,1023,2,5139,11.6530612245,10943,14.6142857143,171.9285714286,3407,12035,8,4,424,0,0,8204,13,5,12035,21,9,42.8571428571,0.1744910677,737.5,99461.3333333333,85.5142857143,93.2714285714,5139,21103.3238095238,Non-web libraries and frameworks,Library
gocd,git://github.com/gocd/gocd.git,1712,133,53,293,269579,5,16770,3,617,123.4,2401,316.4150943396,651.0754716981,2361,34507,1,1,3444,9,5,28702,111,37,34507,121,43,35.5371900826,0.3506534906,547.75,18612.3333333333,340.1635220126,483.7452830189,617,4120.198427673,Non-web libraries and frameworks,Library
MaterialDrawer,git://github.com/mikepenz/MaterialDrawer.git,2316,153,21,380,21150,62,180,6,524,8.4516129032,970,8.5714285714,53.2857142857,153,1119,0,0,100,0,0,866,3,1,1119,3,1,33.3333333333,0.2680965147,717.5,5700,27.619047619,30.9285714286,524,1400.0095238095,Non-web libraries and frameworks,Library
HikariCP,git://github.com/brettwooldridge/HikariCP.git,1724,180,33,215,15900,50,81,8,683,13.66,1839,2.4545454545,35.0909090909,43,1158,0,0,93,0,0,1022,3,1,1158,3,1,33.3333333333,0.2590673575,538,48218.6666666667,23.5151515152,18.7727272727,683,9896.3909090909,Non-web libraries and frameworks,Library
robospice,git://github.com/stephanenicolas/robospice.git,2518,234,24,508,143058,19,440,8,758,39.8947368421,865,18.3333333333,97625,125,2343,2,0,305,1,1,1913,1,0,2343,4,1,25,0.1707212975,821,18951,46.6527777778,57.9791666667,758,4126.9263888889,Non-web libraries and frameworks,Library
roboguice,git://github.com/roboguice/roboguice.git,3222,353,17,839,53339,27,1171,26,1979,73.2962962963,1052,68.8823529412,618.0588235294,1148,10507,0,0,1787,6,3,7572,25,2,10507,31,5,16.1290322581,0.295041401,1107.75,13402,234.6470588235,343.4705882353,1979,3413.3735294118,Non-web libraries and frameworks,Library
HoloEverywhere,git://github.com/Prototik/HoloEverywhere.git,2271,193,41,760,27766,14,1933,6,931,66.5,798,47.1463414634,175.5609756098,607,7198,0,0,571,0,0,6020,27,4,7198,27,4,14.8148148148,0.3751041956,816.25,13909.3333333333,87.9024390244,111.3536585366,931,3171.1678861789,Non-web libraries and frameworks,Library
PhotoView,git://github.com/chrisbanes/PhotoView.git,4024,397,14,1618,34475,7,55,4,1016,145.1428571429,290,3.9285714286,23.8571428571,20,334,0,0,33,0,0,281,21,3,334,21,3,14.2857142857,6.2874251497,1513.25,1420.3333333333,13.9285714286,13.8928571429,1016,795.480952381,Non-web libraries and frameworks,Library
UltimateRecyclerView,git://github.com/cymcsg/UltimateRecyclerView.git,1577,117,6,341,3694,4,233,4,205,51.25,450,38.8333333333,358.5,243,2151,1,0,216,1,0,1692,10,1,2151,12,1,8.3333333333,0.5578800558,510.25,19058,134.4444444444,198.6666666667,205,4021.2722222222,Non-web libraries and frameworks,Library
druid,git://github.com/alibaba/druid.git,2045,558,44,1318,55023,34,0,19,1032,30.3529411765,5709,0,325.9545454545,781,14342,1,0,1804,3,0,11757,16,1,14342,20,1,5,0.1394505648,991.25,48221.3333333333,123.3181818182,162.9772727273,1032,10106.1757575758,Non-web libraries and frameworks,Library
netty,git://github.com/netty/netty.git,5073,793,200,2563,128333,127,1989,26,2569,20.2283464567,6875,9945,117075,2217,23415,14,13,2112,6,6,19086,117,70,23415,137,89,64.9635036496,0.5850950246,2157.25,31774.3333333333,109.0066666667,63.51,2569,7334.62,Software tools,Non-library
spring-boot,git://github.com/spring-projects/spring-boot.git,2708,448,200,2815,68837,45,3071,7,1034,22.9777777778,5546,15355,87025,498,17405,14,14,3350,3,2,13557,26,8,17405,43,24,55.8139534884,0.2470554438,1542.75,95913,100.7933333333,51.19,1034,19728.3466666667,Software tools,Non-library
OpenRefine,git://github.com/OpenRefine/OpenRefine.git,3035,362,26,521,269201,24,1133,10,1908,79.5,2070,43.5769230769,196.6538461538,1234,5113,0,0,645,0,0,3234,12,3,5113,12,3,25,0.2346958733,986,12858.6666666667,88.7435897436,120.1153846154,1908,3192.3051282051,Software tools,Non-library
Hystrix,git://github.com/Netflix/Hystrix.git,3821,521,52,651,33130,82,333,6,1243,15.1585365854,1211,6.4038461538,76.9230769231,193,4000,0,0,517,1,0,3290,41,6,4000,42,6,14.2857142857,1.05,1261.25,142283.333333333,45.108974359,41.6634615385,1243,28974.8711538462,Software tools,Non-library
RxJava,git://github.com/ReactiveX/RxJava.git,6990,680,200,971,422381,130,469,4,1250,9.6153846154,4252,2345,44.82,1202,8964,0,0,779,0,0,6983,4,4,8964,4,4,100,0.0446229362,2210.25,11499.6666666667,82.3883333333,23.5825,1250,3013.1775,System Software,Non-library
j2objc,git://github.com/google/j2objc.git,3090,225,11,350,22755,12,2780,3,1079,89.9166666667,2089,252.7272727273,4317.1818181818,4626,47489,4,4,4045,12,12,38818,181,132,47489,197,148,75.1269035533,0.4148329087,919,218493.666666667,1526.9696969697,2284.9545454546,1079,44860.7181818182,System Software,Non-library
gradle,git://github.com/gradle/gradle.git,2564,260,200,1055,597247,489,10745,20,2720,5.5623721881,28315,53725,198605,1234,39721,0,0,6430,48,36,32057,22,11,39721,70,47,67.1428571429,0.1762291987,1019.75,81378.3333333333,150.7766666667,126165,2720,17079005,System Software,Non-library
atmosphere,git://github.com/Atmosphere/atmosphere.git,2280,224,90,517,203969,126,445,13,1932,15.3333333333,5624,4.9444444444,70.0333333333,856,6303,0,0,632,0,0,4815,15,8,6303,15,8,53.3333333333,0.2379819134,777.75,64362,54.9925925926,37.4888888889,1932,13432.8462962963,System Software,Non-library
orientdb,git://github.com/orientechnologies/orientdb.git,1947,253,82,414,184517,48,2266,28,1962,40875,10640,27.6341463415,352.756097561,3160,28926,0,0,2382,7,3,23384,106,13,28926,113,16,14.1592920354,0.3906520086,674,517713.666666667,154.1300813008,190.1951219512,1962,104138.798373984,System Software,Non-library
