project,name,url,stars,whatchers,contributors,forks,size,releases,NOF,branches,duration,avgTime,commits,files_contributor,APIs_contributor ,quantFields_last,quantFieldsDeprecated_last,perc_quantFieldsDeprecated_last,quantFieldsDeprecatedAnnotation_last,quantFieldsDeprecatedJavaDoc_last,quantFieldsDeprecatedWithRelMessage_last,perc_quantFieldsDeprecatedWithRelMessage_last,quantUserFields_last,quantReplaceFields_last,quantReferFields_last,quantEquivalentFields_last,quantLinkFields_last,quantSeeFields_last,quantTypes_last,quantTypesDeprecated_last,perc_quantTypesDeprecated_last ,quantTypesDeprecatedAnnotation_last,quantTypesDeprecatedJavaDoc_last,quantTypesDeprecatedWithRelMessage_last,perc_quantTypesDeprecatedWithRelMessage_last,quantUserTypes_last,quantReplaceTypes_last,quantReferTypes_last,quantEquivalentTypes_last,quantLinkTypes_last,quantSeeTypes_last,quantMethods_last,quantMethodsDeprecated_last,perc_quantMethodsDeprecated_last,quantMethodsDeprecatedAnnotation_last,quantMethodsDeprecatedJavaDoc_last,quantMethodsDeprecatedWithRelMessage_last,perc_quantMethodsDeprecatedWithRelMessage_last,quantUserMethods_last,quantReplaceMethods_last,quantReferMethods_last,quantEquivalentMethods_last,quantLinkMethods_last,quantSeeMethods_last,quantElements_last,quantElementsDeprecated_last,perc_quantElementsDeprecated_last,quantElementsDeprecatedAnnotation_last,quantElementsDeprecatedJavaDoc_last,quantElementsDeprecatedWithRelMessage_last,perc_quantElementsDeprecatedWithRelMessage_last,quantUserElements_last,quantReplaceElements_last,quantReferElements_last,quantEquivalenElements_last,quantLinkElements_last,quantSeeElements_last,curve,category,category2
prevayler,prevayler,git://github.com/jsampson/prevayler.git,189,32,7,22,7633,28,289,7,4683,167.25,610,41.2857142857,203.2857142857,54,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,1131,1,0.0884173298,0,1,1,100,1,0,0,0,0,0,1423,1,0.0702740689,0,1,1,100,1,0,0,0,0,0,stable,Non-web libraries and frameworks,Library
floobits-intellij,floobits-intellij,git://github.com/Floobits/floobits-intellij.git,113,2,4,3,9057,38,215,37,680,17.8947368421,974,53.75,363.75,308,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,969,1,0.1031991744,0,1,1,100,0,0,1,0,0,0,1455,1,0.0687285223,0,1,1,100,0,0,1,0,0,0,stable,Software tools,Non-library
AisenForAndroid,AisenForAndroid,git://github.com/wangdan/AisenForAndroid.git,196,35,1,94,9588,4,198,3,313,78.25,93,198,1742,152,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,1423,1,0.0702740689,1,1,1,100,1,0,0,0,1,0,1742,1,0.0574052813,1,1,1,100,1,0,0,0,1,0,stable,Non-web libraries and frameworks,Library
sdkexamples-android,sdkexamples-android,git://github.com/easemob/sdkexamples-android.git,211,52,10,177,26371,19,543,26,763,40.1578947368,991,54.3,193.2,325,0,0,0,0,0,0,0,0,0,0,0,0,165,1,0.6060606061,0,1,1,100,1,0,1,0,1,0,1442,0,0,0,0,0,0,0,0,0,0,0,0,1932,1,0.0517598344,0,1,1,100,1,0,1,0,1,0,increase,Application,Non-library
BarcodeScanner,BarcodeScanner,git://github.com/wildabeast/BarcodeScanner.git,732,83,26,762,17460,28,476,5,1042,37.2142857143,200,18.3076923077,75.6153846154,117,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,1560,1,0.0641025641,1,1,1,100,1,0,0,0,1,0,1966,1,0.0508646999,1,1,1,100,1,0,0,0,1,0,increase,Application,Non-library
wiremock,wiremock,git://github.com/tomakehurst/wiremock.git,555,53,29,267,6177,26,332,18,1394,53.6153846154,667,11.4482758621,73.3103448276,119,0,0,0,0,0,0,0,0,0,0,0,0,227,1,0.4405286344,1,1,1,100,1,0,0,0,1,0,1780,0,0,0,0,0,0,0,0,0,0,0,0,2126,1,0.0470366886,1,1,1,100,1,0,0,0,1,0,stable,Non-web libraries and frameworks,Library
gwtbootstrap3,gwtbootstrap3,git://github.com/gwtbootstrap3/gwtbootstrap3.git,255,60,30,116,6909,11,404,2,734,66.7272727273,770,13.4666666667,90.7666666667,203,0,0,0,0,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,2198,1,0.0454959054,1,1,1,100,1,0,0,0,1,0,2723,1,0.0367242012,1,1,1,100,1,0,0,0,1,0,increase,Software tools,Non-library
elasticsearch-knapsack,elasticsearch-knapsack,git://github.com/jprante/elasticsearch-knapsack.git,262,26,7,46,6973,40,271,12,904,22.6,84,38.7142857143,394,357,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,2131,1,0.0469263257,1,1,1,100,1,0,0,0,0,0,2758,1,0.0362581581,1,1,1,100,1,0,0,0,0,0,stable,Application,Non-library
validator,validator,git://github.com/validator/validator.git,140,21,22,31,11769,6,556,3,3680,613.3333333333,2456,25.2727272727,133.3636363636,226,0,0,0,0,0,0,0,0,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,2434,1,0.0410846343,0,1,1,100,1,0,0,0,0,0,2934,1,0.0340831629,0,1,1,100,1,0,0,0,0,0,stable,Application,Non-library
TweetLanes,TweetLanes,git://github.com/chrislacy/TweetLanes.git,679,84,16,270,25999,22,699,4,600,27.2727272727,778,43.6875,185.0625,389,0,0,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0,0,0,0,0,0,0,0,0,2279,1,0.0438788943,0,1,1,100,1,0,0,0,1,0,2961,1,0.0337723742,0,1,1,100,1,0,0,0,1,0,oscillatory,Application,Non-library
MonsterHunter4UDatabase,MonsterHunter4UDatabase,git://github.com/kamegami13/MonsterHunter4UDatabase.git,106,48,14,49,67860,9,1431,3,315,35,620,102.2142857143,216.1428571429,572,0,0,0,0,0,0,0,0,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,2106,1,0.0474833808,1,1,1,100,1,0,0,0,1,0,3026,1,0.0330469266,1,1,1,100,1,0,0,0,1,0,increase,System Software,Non-library
metadata-extractor,metadata-extractor,git://github.com/drewnoakes/metadata-extractor.git,184,27,6,34,22128,22,372,2,4807,218.5,647,62,522.8333333333,1393,1,0.071787509,1,1,1,100,1,0,0,0,1,0,235,0,0,0,0,0,0,0,0,0,0,0,0,1509,0,0,0,0,0,0,0,0,0,0,0,0,3137,1,0.0318775901,1,1,1,100,1,0,0,0,1,0,oscillatory,Non-web libraries and frameworks,Library
suro,suro,git://github.com/Netflix/suro.git,416,245,11,109,6410,35,304,22,1198,34.2285714286,553,27.6363636364,298,483,0,0,0,0,0,0,0,0,0,0,0,0,393,0,0,0,0,0,0,0,0,0,0,0,0,2402,1,0.0416319734,0,1,1,100,1,0,0,0,0,0,3278,1,0.0305064063,0,1,1,100,1,0,0,0,0,0,increase,System Software,Non-library
MozStumbler,MozStumbler,git://github.com/mozilla/MozStumbler.git,452,52,83,176,13404,85,427,3,776,9.1294117647,2575,5.1445783133,39.6746987952,577,0,0,0,0,0,0,0,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,2363,1,0.0423190859,1,1,1,100,1,0,0,0,1,0,3293,1,0.0303674461,1,1,1,100,1,0,0,0,1,0,increase,Software tools,Non-library
d2rq,d2rq,git://github.com/d2rq/d2rq.git,125,32,11,63,93683,20,556,7,3920,196,982,50.5454545455,305,504,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,2548,1,0.0392464678,0,1,1,100,1,0,0,0,1,0,3355,1,0.0298062593,0,1,1,100,1,0,0,0,1,0,increase,System Software,Non-library
jacoco,jacoco,git://github.com/jacoco/jacoco.git,343,60,14,142,11754,31,708,9,2187,70.5483870968,1254,50.5714285714,266.4285714286,196,0,0,0,0,0,0,0,0,0,0,0,0,489,1,0.2044989775,1,1,1,100,1,0,0,0,1,0,3045,0,0,0,0,0,0,0,0,0,0,0,0,3730,1,0.0268096515,1,1,1,100,1,0,0,0,1,0,increase,Non-web libraries and frameworks,Library
fast-serialization,fast-serialization,git://github.com/RuedigerMoeller/fast-serialization.git,387,39,5,68,7676,52,242,5,624,12,571,48.4,815.8,1018,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,2751,1,0.036350418,0,1,1,100,1,0,0,0,0,0,4079,1,0.0245158127,0,1,1,100,1,0,0,0,0,0,increase,Software tools,Non-library
enroscar,enroscar,git://github.com/stanfy/enroscar.git,177,33,5,20,46108,11,503,4,1562,142,1471,100.6,830.6,378,0,0,0,0,0,0,0,0,0,0,0,0,495,1,0.202020202,1,1,1,100,0,0,0,0,1,1,3280,0,0,0,0,0,0,0,0,0,0,0,0,4153,1,0.0240789791,1,1,1,100,0,0,0,0,1,1,stable,Software tools,Non-library
spring-security-oauth,spring-security-oauth,git://github.com/spring-projects/spring-security-oauth.git,971,218,58,1211,14663,30,893,5,1800,60,1022,15.3965517241,86.1724137931,179,0,0,0,0,0,0,0,0,0,0,0,0,874,1,0.114416476,1,1,1,100,1,1,1,0,0,0,3945,0,0,0,0,0,0,0,0,0,0,0,0,4998,1,0.0200080032,1,1,1,100,1,1,1,0,0,0,increase,Web libraries and frameworks,Library
restx,restx,git://github.com/restx/restx.git,293,36,18,64,12552,16,1612,18,810,50625,1104,89.5555555556,279.6111111111,320,0,0,0,0,0,0,0,0,0,0,0,0,819,0,0,0,0,0,0,0,0,0,0,0,0,3894,1,0.0256805342,1,1,1,100,1,0,0,0,0,0,5033,1,0.0198688655,1,1,1,100,1,0,0,0,0,0,increase,Web libraries and frameworks,Library
grpc-java,grpc-java,git://github.com/grpc/grpc-java.git,828,152,30,192,21016,4,364,7,225,56.25,732,12.1333333333,187.7333333333,388,0,0,0,0,0,0,0,0,0,0,0,0,505,1,0.198019802,1,1,1,100,1,0,0,0,0,0,4739,0,0,0,0,0,0,0,0,0,0,0,0,5632,1,0.0177556818,1,1,1,100,1,0,0,0,0,0,decrease,Non-web libraries and frameworks,Library
javaslang,javaslang,git://github.com/javaslang/javaslang.git,275,25,14,31,8578,5,181,3,567,113.4,1451,12.9285714286,410.6428571429,149,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,5308,1,0.0188394876,1,1,1,100,1,0,0,0,0,0,5749,1,0.0173943294,1,1,1,100,1,0,0,0,0,0,stable,Non-web libraries and frameworks,Library
crash,crash,git://github.com/crashub/crash.git,371,47,23,96,16950,85,730,5,2023,23.8,1986,31.7391304348,253.6086956522,606,0,0,0,0,0,0,0,0,0,0,0,0,849,1,0.1177856302,1,1,1,100,0,0,0,0,1,0,4378,0,0,0,0,0,0,0,0,0,0,0,0,5833,1,0.0171438368,1,1,1,100,0,0,0,0,1,0,increase,System Software,Non-library
platform_dalvik,platform_dalvik,git://github.com/android/platform_dalvik.git,266,68,61,188,98878,158,1406,56,2451,15.5126582278,7585,23.0491803279,154.7213114754,2633,0,0,0,0,0,0,0,0,0,0,0,0,780,0,0,0,0,0,0,0,0,0,0,0,0,6025,1,0.0165975104,1,1,1,100,1,0,0,0,1,0,9438,1,0.0105954651,1,1,1,100,1,0,0,0,1,0,oscillatory,System Software,Non-library
openhab,openhab,git://github.com/openhab/openhab.git,1591,311,300,923,259640,17,6581,5,2008,118.1176470588,7277,21.9366666667,112.0633333333,7288,0,0,0,0,0,0,0,0,0,0,0,0,3232,0,0,0,0,0,0,0,0,0,0,0,0,23099,1,0.0043291917,1,1,1,100,1,0,0,0,0,0,33619,1,0.0029745085,1,1,1,100,1,0,0,0,0,0,oscillatory,Application,Non-library
mongo-hadoop,mongo-hadoop,git://github.com/mongodb/mongo-hadoop.git,968,135,47,399,93372,12,234,28,1817,151.4166666667,1082,4.9787234043,29.1489361702,150,39,26,39,39,39,100,39,0,0,0,39,1,142,0,0,0,0,0,0,0,0,0,0,0,0,1078,20,1.8552875696,20,19,19,95,19,0,0,0,18,0,1370,59,4.3065693431,59,58,58,98.3050847458,58,0,0,0,57,1,increase,Non-web libraries and frameworks,Library
lwjgl,lwjgl,git://github.com/LWJGL/lwjgl.git,396,83,26,108,40230,51,1377,2,4753,93.1960784314,3876,52.9615384615,704.4615384615,8644,3,0.0347061546,1,3,2,66.6666666667,2,0,0,0,0,0,1064,0,0,0,0,0,0,0,0,0,0,0,0,8608,36,0.4182156134,34,36,36,100,36,0,0,0,36,0,18316,39,0.212928587,35,39,38,97.4358974359,38,0,0,0,36,0,oscillatory,Non-web libraries and frameworks,Library
sqoop-release,sqoop-release,git://github.com/apache/sqoop.git,124,25,13,130,19619,27,873,20,1521,56.3333333333,714,67.1538461538,555.7692307692,1125,0,0,0,0,0,0,0,0,0,0,0,0,778,182,23.3933161954,1,182,180,98.9010989011,180,0,3,1,2,49,5322,6,0.1127395716,6,4,2,33.3333333333,2,0,0,0,2,0,7225,188,2.6020761246,7,186,182,96.8085106383,182,0,3,1,4,49,decrease,System Software,Non-library
java-driver,java-driver,git://github.com/datastax/java-driver.git,497,133,59,354,24339,53,452,36,1106,20.8679245283,1968,7.6610169492,102.1694915254,545,1,0.1834862385,1,1,1,100,1,0,0,0,1,0,678,0,0,0,0,0,0,0,0,0,0,0,0,4805,28,0.5827263267,22,28,27,96.4285714286,26,0,0,0,24,0,6028,29,0.4810882548,23,29,28,96.5517241379,27,0,0,0,25,0,oscillatory,Application,Non-library
robocode,robocode,git://github.com/robo-code/robocode.git,158,44,4,63,73243,99,1293,14,5059,51.101010101,2266,323.25,1890.5,496,0,0,0,0,0,0,0,0,0,0,0,0,764,1,0.1308900524,1,1,1,100,1,0,0,0,1,1,6302,56,0.8886067915,54,54,54,96.4285714286,54,0,0,0,48,2,7562,57,0.7537688442,55,55,55,96.4912280702,55,0,0,0,49,3,stable,Application,Non-library
c3p0,c3p0,git://github.com/swaldman/c3p0.git,383,62,5,113,6685,60,189,4,983,16.3833333333,331,37.8,585.4,478,0,0,0,0,0,0,0,0,0,0,0,0,198,6,3.0303030303,0,6,6,100,6,0,1,0,3,0,2251,17,0.7552199023,0,17,16,94.1176470588,15,0,8,0,1,2,2927,23,0.7857874957,0,23,22,95.652173913,21,0,9,0,4,2,oscillatory,Non-web libraries and frameworks,Library
powermock,powermock,git://github.com/jayway/powermock.git,201,26,9,96,6447,5,979,2,2655,531,1237,108.7777777778,617.2222222222,529,0,0,0,0,0,0,0,0,0,0,0,0,944,2,0.2118644068,0,2,2,100,2,0,0,0,2,0,4082,20,0.489955904,2,19,19,95,19,0,0,0,19,0,5555,22,0.396039604,2,21,21,95.4545454545,21,0,0,0,21,0,stable,Non-web libraries and frameworks,Library
flyway,flyway,git://github.com/flyway/flyway.git,916,88,38,315,14174,10,700,2,1879,187.9,1352,18.4210526316,60.3947368421,44,1,2.2727272727,1,1,1,100,1,0,0,0,0,0,351,3,0.8547008547,3,2,2,66.6666666667,2,0,0,0,0,0,1900,17,0.8947368421,17,17,17,100,17,0,0,0,0,0,2295,21,0.9150326797,21,20,20,95.2380952381,20,0,0,0,0,0,oscillatory,Application,Non-library
joda-time,joda-time,git://github.com/JodaOrg/joda-time.git,1536,139,35,357,17397,44,457,6,4266,96.9545454545,1886,13.0571428571,309.8571428571,484,0,0,0,0,0,0,0,0,0,0,0,0,473,5,1.0570824524,5,5,5,100,5,0,0,0,3,0,9888,16,0.1618122977,16,16,15,93.75,15,0,0,0,6,0,10845,21,0.193637621,21,21,20,95.2380952381,20,0,0,0,9,0,oscillatory,Non-web libraries and frameworks,Library
zaproxy,zaproxy,git://github.com/zaproxy/zaproxy.git,274,39,38,65,178902,23,2045,25,1830,79.5652173913,3121,53.8157894737,412.6842105263,953,8,0.8394543547,8,8,8,100,4,5,0,0,8,1,1336,19,1.4221556886,19,19,19,100,15,2,4,0,7,0,13393,54,0.4031956992,54,52,50,92.5925925926,30,16,0,0,44,2,15682,81,0.5165157505,81,79,77,95.0617283951,49,23,4,0,59,3,oscillatory,Application,Non-library
android-support-v4-googlemaps,android-support-v4-googlemaps,git://github.com/petedoyle/android-support-v4-googlemaps.git,190,26,3,62,45304,17,295,13,665,39.1176470588,209,98.3333333333,1188.6666666667,548,2,0.3649635036,1,2,2,100,2,0,0,0,2,0,396,0,0,0,0,0,0,0,0,0,0,0,0,2622,17,0.6483600305,8,16,16,94.1176470588,14,0,0,0,14,0,3566,19,0.532809871,9,18,18,94.7368421053,16,0,0,0,16,0,increase,Non-web libraries and frameworks,Library
android-xbmcremote,android-xbmcremote,git://github.com/freezy/android-xbmcremote.git,383,84,20,305,24023,3,1241,4,1715,571.6666666667,946,62.05,405.45,1837,1,0.0544365814,1,1,1,100,1,0,0,0,1,0,609,2,0.328407225,0,2,2,100,2,0,0,0,2,1,5663,31,0.547413032,6,29,29,93.5483870968,29,0,1,3,29,0,8109,34,0.4192872117,7,32,32,94.1176470588,32,0,1,3,32,1,stable,Non-web libraries and frameworks,Library
gs-collections,gs-collections,git://github.com/goldmansachs/gs-collections.git,1256,190,9,173,18833,16,2939,2,1251,78.1875,845,326.5555555556,3632.7777777778,347,1,0.288184438,1,1,0,0,0,0,0,0,0,0,2915,18,0.6174957118,18,18,18,100,15,0,0,0,12,1,29433,135,0.4586688411,135,135,126,93.3333333333,120,0,0,0,117,3,32695,154,0.4710200336,154,154,144,93.5064935065,135,0,0,0,129,4,oscillatory,Non-web libraries and frameworks,Library
pdfbox,pdfbox,git://github.com/apache/pdfbox.git,198,36,5,151,100536,23,1506,15,2749,119.5217391304,4449,301.2,2679.2,2124,13,0.6120527307,2,13,13,100,13,0,4,0,13,0,1229,1,0.081366965,1,1,1,100,1,0,0,0,1,0,10043,77,0.7667031763,68,76,70,90.9090909091,62,7,8,0,62,1,13396,91,0.6793072559,71,90,84,92.3076923077,76,7,12,0,76,1,oscillatory,Non-web libraries and frameworks,Library
spring-integration,spring-integration,git://github.com/spring-projects/spring-integration.git,374,84,62,349,88887,100,3685,11,2834,28.34,8037,59.435483871,336.3387096774,1048,0,0,0,0,0,0,0,0,0,0,0,0,3151,10,0.3173595684,10,10,9,90,4,0,0,0,9,0,16654,16,0.0960730155,16,16,15,93.75,12,0,1,0,13,0,20853,26,0.1246822999,26,26,24,92.3076923077,16,0,1,0,22,0,oscillatory,Software tools,Non-library
opencms-core,opencms-core,git://github.com/alkacon/opencms-core.git,205,81,33,206,1004959,198,7567,10,5740,28.9898989899,19065,229.303030303,1668.4545454546,13555,71,0.5237919587,71,71,71,100,71,0,0,0,70,0,3597,8,0.2224075619,8,8,7,87.5,7,0,0,0,6,6,37907,126,0.3323924341,126,113,111,88.0952380952,106,3,14,0,105,22,55059,205,0.3723278665,205,192,189,92.1951219512,184,3,14,0,181,28,oscillatory,Web libraries and frameworks,Library
Terasology,Terasology,git://github.com/MovingBlocks/Terasology.git,1106,123,60,440,320790,22,2427,9,1628,74,5152,40.45,335.0166666667,1222,0,0,0,0,0,0,0,0,0,0,0,0,2072,18,0.8687258687,18,18,18,100,18,0,0,0,10,0,16807,33,0.1963467603,33,30,29,87.8787878788,29,0,0,0,5,0,20101,51,0.2537187205,51,48,47,92.1568627451,47,0,0,0,15,0,increase,Non-web libraries and frameworks,Library
bc-java,bc-java,git://github.com/bcgit/bc-java.git,202,49,23,179,26668,4,4632,2,924,231,2893,201.3913043478,1845.4782608696,7316,80,1.0934937124,0,80,80,100,80,0,0,0,0,0,4810,53,1.1018711019,0,53,50,94.3396226415,50,0,0,0,0,4,30320,273,0.9003957784,0,273,242,88.6446886447,200,21,37,0,44,0,42446,406,0.9565094473,0,406,372,91.6256157635,330,21,37,0,44,4,oscillatory,Application,Non-library
activejdbc,activejdbc,git://github.com/javalite/activejdbc.git,221,42,17,82,11236,28,441,17,1849,66.0357142857,963,25.9411764706,141.3529411765,71,0,0,0,0,0,0,0,0,0,0,0,0,346,6,1.7341040462,6,6,6,100,6,0,0,0,6,0,1986,27,1.3595166163,26,25,24,88.8888888889,24,0,2,0,20,0,2403,33,1.3732833958,32,31,30,90.9090909091,30,0,2,0,26,0,oscillatory,Non-web libraries and frameworks,Library
google-api-java-client,google-api-java-client,git://github.com/google/google-api-java-client.git,205,48,12,136,14301,46,280,23,1839,39.9782608696,719,23.3333333333,121.1666666667,193,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,1072,11,1.026119403,11,10,10,90.9090909091,10,0,0,0,10,0,1454,11,0.7565337001,11,10,10,90.9090909091,10,0,0,0,10,0,oscillatory,Non-web libraries and frameworks,Library
args4j,args4j,git://github.com/kohsuke/args4j.git,332,29,23,102,8402,30,174,3,4332,144.4,608,7.5652173913,37.8260869565,130,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,585,11,1.8803418803,1,11,10,90.9090909091,10,0,0,0,10,0,870,11,1.2643678161,1,11,10,90.9090909091,10,0,0,0,10,0,oscillatory,Non-web libraries and frameworks,Library
groovy-eclipse,groovy-eclipse,git://github.com/groovy/groovy-eclipse.git,108,24,13,73,560822,27,12472,18,2205,81.6666666667,2943,959.3846153846,20460.3076923077,71978,627,0.8710995026,0,627,553,88.1977671451,492,53,21,0,544,36,11923,295,2.474209511,1,295,211,71.5254237288,120,21,0,0,92,126,182083,1377,0.756248524,48,1354,1310,95.1343500363,995,166,57,7,952,594,265984,2299,0.8643377045,49,2276,2074,90.2131361462,1607,240,78,7,1588,756,oscillatory,Software tools,Non-library
railo,railo,git://github.com/getrailo/railo.git,246,45,15,86,923239,164,3890,7,1896,11.5609756098,3990,259.3333333333,2545.8,5568,0,0,0,0,0,0,0,0,0,0,0,0,2983,11,0.3687562856,0,11,11,100,5,6,0,0,1,0,29636,149,0.5027669051,1,148,133,89.2617449664,124,9,1,0,59,0,38187,160,0.418990756,1,159,144,90,129,15,1,0,60,0,oscillatory,Software tools,Non-library
assertj-core,assertj-core,git://github.com/joel-costigliola/assertj-core.git,457,39,64,117,25795,15,2209,8,1779,118.6,1125,34.515625,213.15625,555,0,0,0,0,0,0,0,0,0,0,0,0,2236,0,0,0,0,0,0,0,0,0,0,0,0,10851,20,0.1843148097,20,18,18,90,17,0,0,0,9,0,13642,20,0.1466060695,20,18,18,90,17,0,0,0,9,0,oscillatory,Non-web libraries and frameworks,Library
pgjdbc,pgjdbc,git://github.com/pgjdbc/pgjdbc.git,154,40,56,143,16170,92,412,21,6573,71.4456521739,1732,7.3571428571,78.2142857143,360,1,0.2777777778,1,1,0,0,0,0,0,0,0,0,342,1,0.2923976608,0,1,0,0,0,0,0,0,0,0,3678,18,0.4893964111,5,18,18,100,10,10,0,2,15,1,4380,20,0.4566210046,6,20,18,90,10,10,0,2,15,1,oscillatory,Non-web libraries and frameworks,Library
android-beacon-library,android-beacon-library,git://github.com/AltBeacon/android-beacon-library.git,766,120,17,267,7210,51,114,38,685,13.431372549,450,6.7058823529,56.2352941176,114,1,0.8771929825,1,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,741,9,1.2145748988,8,9,9,100,8,1,0,0,6,2,956,10,1.0460251046,9,9,9,90,8,1,0,0,6,2,oscillatory,Non-web libraries and frameworks,Library
togglz,togglz,git://github.com/togglz/togglz.git,137,31,17,61,2422,17,359,7,1314,77.2941176471,532,21.1176470588,87.6470588235,76,0,0,0,0,0,0,0,0,0,0,0,0,264,1,0.3787878788,1,1,1,100,1,0,0,0,1,0,1150,9,0.7826086957,8,8,8,88.8888888889,8,0,0,0,8,0,1490,10,0.6711409396,9,9,9,90,9,0,0,0,9,0,increase,Non-web libraries and frameworks,Library
Smack,Smack,git://github.com/igniterealtime/Smack.git,504,122,31,319,30731,16,1268,4,4599,287.4375,2691,40.9032258065,303,883,0,0,0,0,0,0,0,0,0,0,0,0,1169,8,0.6843455945,8,8,8,100,8,0,0,0,8,2,7341,60,0.8173273396,60,53,53,88.3333333333,52,0,5,0,53,1,9393,68,0.7239433621,68,61,61,89.7058823529,60,0,5,0,61,3,oscillatory,Non-web libraries and frameworks,Library
jackson-core,jackson-core,git://github.com/FasterXML/jackson-core.git,725,96,24,242,9776,52,181,12,1335,25.6730769231,832,7.5416666667,125625,469,2,0.4264392324,2,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,2361,17,0.7200338839,17,17,17,100,17,0,1,0,14,0,3015,19,0.6301824212,19,17,17,89.4736842105,17,0,1,0,14,0,oscillatory,Non-web libraries and frameworks,Library
zk,zk,git://github.com/zkoss/zk.git,159,46,34,103,747752,101,7645,11,3382,33.4851485149,21990,224.8529411765,768.8823529412,2066,8,0.3872216844,0,8,5,62.5,5,0,0,0,0,0,2983,62,2.0784445189,2,62,60,96.7741935484,31,45,3,0,30,12,21093,280,1.3274546058,8,275,242,86.4285714286,90,134,25,0,221,2,26142,350,1.3388417107,10,345,307,87.7142857143,126,179,28,0,251,14,decrease,Web libraries and frameworks,Library
android_frameworks_base,android_frameworks_base,git://github.com/CyanogenMod/android_frameworks_base.git,354,134,94,999,2782643,31,28636,48,2493,80.4193548387,153986,304.6382978723,486.7553191489,13903,548,3.9415953391,534,528,498,90.8759124088,309,3,16,2,430,18,2759,69,2.5009061254,64,69,68,98.5507246377,36,2,5,0,60,11,29093,363,1.2477228199,309,331,293,80.7162534435,239,16,21,0,247,37,45755,980,2.1418424216,907,928,859,87.6530612245,584,21,42,2,737,66,stable,Non-web libraries and frameworks,Library
TwelveMonkeys,TwelveMonkeys,git://github.com/haraldk/TwelveMonkeys.git,224,38,10,77,206337,10,1196,6,2178,217.8,736,119.6,1008.9,1733,0,0,0,0,0,0,0,0,0,0,0,0,981,5,0.5096839959,1,4,4,80,4,0,1,0,1,2,7375,11,0.1491525424,0,11,10,90.9090909091,7,0,0,0,4,7,10089,16,0.1585885618,1,15,14,87.5,11,0,1,0,5,9,increase,Non-web libraries and frameworks,Library
languagetool,languagetool,git://github.com/languagetool-org/languagetool.git,455,54,32,128,309069,11,2063,5,4477,407,15724,64.46875,225.6875,496,0,0,0,0,0,0,0,0,0,0,0,0,1062,1,0.0941619586,0,1,0,0,0,0,0,0,0,0,5664,7,0.1235875706,0,7,7,100,7,0,0,0,1,0,7222,8,0.1107726392,0,8,7,87.5,7,0,0,0,1,0,oscillatory,Software tools,Non-library
spring-android,spring-android,git://github.com/spring-projects/spring-android.git,538,91,6,204,5755,10,366,5,1734,173.4,492,61,736,200,0,0,0,0,0,0,0,0,0,0,0,0,566,5,0.8833922261,5,5,5,100,3,0,0,0,5,2,3650,26,0.7123287671,26,22,22,84.6153846154,7,1,1,2,22,3,4416,31,0.7019927536,31,27,27,87.0967741935,10,1,1,2,27,5,decrease,Non-web libraries and frameworks,Library
freemarker,freemarker,git://github.com/freemarker/freemarker.git,327,60,6,134,19886,19,1089,8,1986,104.5263157895,1348,181.5,1494,735,16,2.1768707483,16,16,16,100,15,2,0,0,14,0,1215,21,1.7283950617,21,21,12,57.1428571429,9,1,0,0,7,2,7014,76,1.0835471913,76,76,70,92.1052631579,65,3,2,1,57,0,8964,113,1.2605979473,113,113,98,86.7256637168,89,6,2,1,78,2,oscillatory,Non-web libraries and frameworks,Library
ormlite-core,ormlite-core,git://github.com/j256/ormlite-core.git,212,33,5,108,19738,63,310,3,1709,27.126984127,1572,62,951.2,785,0,0,0,0,0,0,0,0,0,0,0,0,648,0,0,0,0,0,0,0,0,0,0,0,0,3323,15,0.4513993379,15,13,13,86.6666666667,9,0,0,0,13,0,4756,15,0.3153910849,15,13,13,86.6666666667,9,0,0,0,13,0,increase,Non-web libraries and frameworks,Library
