project,rm,ed,category
jackson-dataformat-xml,25,0.283286119,Non-web libraries and frameworks
vlcj,25,0.1165840863,Non-web libraries and frameworks
Java-Lang,25,0.1008318629,Non-web libraries and frameworks
openiot,25,0.0270892591,System Software
morphia,25,0.1099203078,Non-web libraries and frameworks
vk-android-sdk,25,0.2094240838,Non-web libraries and frameworks
jackson-annotations,25,3.1496062992,Non-web libraries and frameworks
groovy-core,24.5409015025,2.6852557493,Software tools
incubator-groovy,24.3822075783,2.7107895677,Non-web libraries and frameworks
maven,24.1206030151,2.3136844553,Software tools
jeromq,23.8095238095,0.8502024291,Non-web libraries and frameworks
onos,23.6842105263,0.1568756967,System Software
jackrabbit-oak,23.5294117647,0.05946551,System Software
UltimateAndroid,23.2558139535,0.2517932953,Non-web libraries and frameworks
ReactFX,23.2142857143,2.2471910112,Non-web libraries and frameworks
caelum-stella,22.7272727273,0.4067295249,Web libraries and frameworks
Bukkit,22.2466960352,7.6508257499,Non-web libraries and frameworks
h-store,22.2222222222,0.1326292521,System Software
MinecraftForge,21.9178082192,1.1745776348,Software tools
RustDT,21.4285714286,0.1984970934,Software tools
immutables,21.4285714286,0.390952248,Non-web libraries and frameworks
gatk,20.8333333333,0.1434462973,Non-web libraries and frameworks
BungeeCord,20,1.8234865062,System Software
core,20,0.0990736613,Web libraries and frameworks
goclipse,20,0.1973684211,Application
hibernate-ogm,20,0.1038421599,Non-web libraries and frameworks
java-cas-client,20,0.4088307441,Web libraries and frameworks
ExtrabiomesXL,20,0.2131287298,Software tools
pi4j,20,0.1236093943,Non-web libraries and frameworks
httpclient,20,0.0884486114,Web libraries and frameworks
querydsl,20,0.0279704632,Non-web libraries and frameworks
mage,20,0.0036294215,Application
ols,20,0.1003814495,Application
antlr3,20,0.0848896435,Software tools
webprotege,18.1818181818,0.0734116391,Software tools
eurekastreams,18.1818181818,0.0691215282,Web libraries and frameworks
wildfly,18.018018018,0.2117956839,System Software
drools,17.6470588235,0.0868129436,Application
xmemcached,17.6470588235,0.3766061143,Non-web libraries and frameworks
docker-plugin,17.1428571429,5.3435114504,Application
hazelcast,17,0.1859634768,Non-web libraries and frameworks
hive,16.9117647059,0.1637666325,Software tools
libjitsi,16.6666666667,0.0689496667,Non-web libraries and frameworks
boon,16.6666666667,0.0435698206,Software tools
guacamole-client,16.6666666667,0.3313086692,Web libraries and frameworks
egit-github,16.6666666667,0.1685393258,Non-web libraries and frameworks
bson4jackson,16.6666666667,1.1173184358,Software tools
Java-Chronicle,16.6666666667,0.3490401396,Non-web libraries and frameworks
jsprit,16.2790697674,0.9611086276,Non-web libraries and frameworks
undertow,16,0.3389830508,System Software
incubator-calcite,15.7303370787,0.3765920535,Non-web libraries and frameworks
Twidere-Android,15.3846153846,0.1105818306,Application
checkstyle,14.7058823529,1.2350163458,Software tools
voldemort,14.7058823529,0.19009281,Application
Tweetin,14.2857142857,1.8119068162,Application
jdbi,14.2857142857,0.7847533632,Non-web libraries and frameworks
tachyon,14.2857142857,0.0670755079,Application
KJFrameForAndroid,14.2857142857,0.5307050796,Non-web libraries and frameworks
eclipsefp,13.8888888889,0.3750390666,Application
processing-android,13.3333333333,0.208855472,Non-web libraries and frameworks
spring-data-neo4j,13.1578947368,0.4734022673,Non-web libraries and frameworks
airlift,12.5,0.480865558,Non-web libraries and frameworks
jitsi,12.5,0.0524882722,Application
appfuse,12.5,0.2263083451,Web libraries and frameworks
Rythm,12.5,0.2296870514,Software tools
drill,12.1212121212,0.1069588047,Software tools
repose,11.4285714286,0.5222321695,Software tools
mahout,11.320754717,0.4564636982,Software tools
BuildCraft,11.1111111111,0.1844640295,Application
multibit,11.1111111111,0.311742293,Application
uaa,11.1111111111,0.1256106071,System Software
Essentials,10.5263157895,0.4782280393,System Software
cloudstack,10.2040816327,0.0723813463,Software tools
idea-php-symfony2-plugin,10,0.2613012804,Application
phonegap-app-developer,9.4339622642,1.3845350052,Web libraries and frameworks
BiomesOPlenty,9.0909090909,0.5198487713,Application
box2dlights,9.0909090909,2.4122807018,Non-web libraries and frameworks
giraph,8.3333333333,0.1074691026,Software tools
keycloak,8.1081081081,0.1655184754,Software tools
jstorm,7.4074074074,0.1586462189,Software tools
Metamorphosis,7.1428571429,0.2418797512,Application
bither-android,6.6666666667,0.204415372,Application
error-prone,6.6666666667,0.2708559047,Software tools
mcMMO,6,1.4974543276,Application
phonegap-facebook-plugin,5.6603773585,2.3782813552,Application
spatial4j,5.5555555556,1.8018018018,Non-web libraries and frameworks
evernote-sdk-android,5.3892215569,14.1047297297,System Software
stratio-cassandra,5.1724137931,0.5852477212,Software tools
astrid,5.1020408163,0.4883396452,Application
socialize-sdk-android,4.3956043956,0.8970820189,System Software
mopub-android-sdk,3.2432432432,2.9829087391,System Software
bnd,2.7027027027,0.5231160752,Software tools
oozie,2.7027027027,0.2717191746,Software tools
stripe-java,2.6086956522,5.2083333333,Non-web libraries and frameworks
ANE-Facebook,1.1235955056,2.8802588997,System Software
pinpoint,1.0989010989,0.575803594,Software tools
vraptor4,1.0416666667,2.3071377073,Web libraries and frameworks
