project,rm,ed,category
java-api-wrapper,100,0.2808988764,Non-web libraries and frameworks
elasticsearch-jdbc,100,0.1766784452,Non-web libraries and frameworks
simpletask-android,100,0.1540832049,Application
spring-data-document-examples,100,0.1447178003,Application
hppc,100,0.1422475107,Non-web libraries and frameworks
cloudhopper-smpp,100,0.105764146,Non-web libraries and frameworks
memcached-session-manager,100,0.085106383,Software tools
java,100,0.0847816872,Non-web libraries and frameworks
android-bankdroid,100,0.08399832,Application
mapbox-android-sdk,100,0.0781555295,System Software
java-memcached-client,100,0.0707213579,Non-web libraries and frameworks
swift,100,0.0625978091,Non-web libraries and frameworks
ChatSecureAndroid,100,0.0416406413,Application
todo.txt-android,100,0.0406834825,Application
live-chat-engine,100,0.0365831352,Application
facebook4j,100,0.035118525,Non-web libraries and frameworks
android-sqlite-asset-helper,100,2.1276595745,Software tools
audio-wife,100,1.5873015873,Non-web libraries and frameworks
GoogleAuth,100,1.2820512821,Non-web libraries and frameworks
MaterialSpinner,100,1.2048192771,Application
thymeleaf-layout-dialect,100,1.0204081633,Web libraries and frameworks
jenkins-gitlab-merge-request-builder-plugin,100,0.8333333333,Application
Android-BitmapCache,100,0.5780346821,Non-web libraries and frameworks
guava-retrying,100,0.4484304933,Non-web libraries and frameworks
multi-thread-context,100,0.4405286344,Non-web libraries and frameworks
material-menu,100,0.4237288136,Non-web libraries and frameworks
liblinear-java,100,0.3676470588,Non-web libraries and frameworks
maven-gae-plugin,100,0.3115264798,Software tools
Android-Iconics,100,0.269541779,Non-web libraries and frameworks
snappy-java,100,0.2538071066,Application
netflix-graph,100,0.2386634845,Non-web libraries and frameworks
Paginize,100,0.2336448598,Non-web libraries and frameworks
webimageloader,100,0.1709401709,Non-web libraries and frameworks
jasmine-maven-plugin,100,0.1663893511,Software tools
jsonld-java,100,0.1410437236,Non-web libraries and frameworks
htmlelements,100,0.1388888889,Web libraries and frameworks
m2e-android,100,0.1319261214,Software tools
seyren,100,0.1317523057,Software tools
libgdx-contribs,100,0.1298701299,Non-web libraries and frameworks
dynalink,100,0.1162790698,Non-web libraries and frameworks
HearthStats.net-Uploader,100,0.110864745,Application
spring-retry,100,0.1075268817,Non-web libraries and frameworks
world,100,0.1071811361,Application
v2ex-daily-android,100,0.1051524711,Non-web libraries and frameworks
Transitions-Everywhere,100,0.0966183575,Non-web libraries and frameworks
EverMemo,100,0.0949667616,Application
