name,rm,avgAll,category
bitcoinj,25,1511.6691358025,Non-web libraries and frameworks
CommandBook,25,3167.3666666667,System Software
hector,25,1885.6557971015,Non-web libraries and frameworks
spring-social,25,1169.5416666667,Non-web libraries and frameworks
arquillian-core,25,2022.8325396825,Software tools
less4j,25,8765.837037037,Software tools
gwt-bootstrap,25,16813.9083333333,Web libraries and frameworks
ScreenSlicer,25,467.2833333333,Application
CircularReveal,25,427.9833333333,Application
jackson-dataformat-xml,25,5737.6111111111,Non-web libraries and frameworks
vlcj,25,6168.5,Non-web libraries and frameworks
Java-Lang,25,15213.8833333333,Non-web libraries and frameworks
openiot,25,3177.217948718,System Software
morphia,25,814.4166666667,Non-web libraries and frameworks
vk-android-sdk,25,458.3777777778,Non-web libraries and frameworks
jackson-annotations,25,13728.7444444444,Non-web libraries and frameworks
groovy-core,24.5409015025,13025.3308333333,Software tools
incubator-groovy,24.3822075783,6749.5841666667,Non-web libraries and frameworks
maven,24.1206030151,1745.5851851852,Software tools
jeromq,23.8095238095,3552.4060606061,Non-web libraries and frameworks
onos,23.6842105263,8367.4594771242,System Software
jackrabbit-oak,23.5294117647,10735.9261904762,System Software
UltimateAndroid,23.2558139535,4790.25,Non-web libraries and frameworks
ReactFX,23.2142857143,1769.2277777778,Non-web libraries and frameworks
caelum-stella,22.7272727273,2329.4119047619,Web libraries and frameworks
Bukkit,22.2466960352,11982.3283333333,Non-web libraries and frameworks
h-store,22.2222222222,13580.6539215686,System Software
MinecraftForge,21.9178082192,1111.2741666667,Software tools
RustDT,21.4285714286,1474.9,Software tools
immutables,21.4285714286,17217.75,Non-web libraries and frameworks
gatk,20.8333333333,2372.72,Non-web libraries and frameworks
BungeeCord,20,178976.17183908,System Software
core,20,11781.55,Web libraries and frameworks
goclipse,20,2687.1833333333,Application
hibernate-ogm,20,1313.4136363636,Non-web libraries and frameworks
java-cas-client,20,1348.0388888889,Web libraries and frameworks
ExtrabiomesXL,20,2683.5833333333,Software tools
pi4j,20,2646.0142857143,Non-web libraries and frameworks
httpclient,20,7180.75,Web libraries and frameworks
querydsl,20,33723.2760162602,Non-web libraries and frameworks
mage,20,12984.6213541667,Application
ols,20,2221,Application
antlr3,20,4989.7333333333,Software tools
webprotege,18.1818181818,15336.0833333333,Software tools
eurekastreams,18.1818181818,24258.3571428571,Web libraries and frameworks
wildfly,18.018018018,24312.6511111111,System Software
drools,17.6470588235,5785.1038152611,Application
xmemcached,17.6470588235,1046.1425925926,Non-web libraries and frameworks
docker-plugin,17.1428571429,10447.1402298851,Application
hazelcast,17,35554.3291666667,Non-web libraries and frameworks
hive,16.9117647059,12924.852991453,Software tools
libjitsi,16.6666666667,1804.8074074074,Non-web libraries and frameworks
boon,16.6666666667,2246.7257575758,Software tools
guacamole-client,16.6666666667,1041.7590909091,Web libraries and frameworks
egit-github,16.6666666667,694.8114035088,Non-web libraries and frameworks
bson4jackson,16.6666666667,580.9444444444,Software tools
Java-Chronicle,16.6666666667,1248.5361111111,Non-web libraries and frameworks
jsprit,16.2790697674,3047.3,Non-web libraries and frameworks
undertow,16,7636.2783783784,System Software
incubator-calcite,15.7303370787,8242.3266666667,Non-web libraries and frameworks
docx4j,15.625,5168.6558823529,Non-web libraries and frameworks
Twidere-Android,15.3846153846,5409.0166666667,Application
checkstyle,14.7058823529,21576.6471751412,Software tools
voldemort,14.7058823529,2755.1797619048,Application
Tweetin,14.2857142857,1281.9333333333,Application
jdbi,14.2857142857,3711.5135416667,Non-web libraries and frameworks
tachyon,14.2857142857,3560.8366666667,Application
KJFrameForAndroid,14.2857142857,2342.4444444445,Non-web libraries and frameworks
eclipsefp,13.8888888889,5608.3555555556,Application
processing-android,13.3333333333,3607.1098039216,Non-web libraries and frameworks
spring-data-neo4j,13.1578947368,2094.2946236559,Non-web libraries and frameworks
airlift,12.5,44370.347368421,Non-web libraries and frameworks
jitsi,12.5,13529.6729166667,Application
appfuse,12.5,1823.0166666667,Web libraries and frameworks
Rythm,12.5,3605.25,Software tools
drill,12.1212121212,10594.2697674419,Software tools
repose,11.4285714286,4675.4095959596,Software tools
mahout,11.320754717,4731.5479166667,Software tools
BuildCraft,11.1111111111,10983.8675,Application
multibit,11.1111111111,3173,Application
uaa,11.1111111111,19289.9369047619,System Software
Essentials,10.5263157895,51383.60657277,System Software
cloudstack,10.2040816327,5723.8808333333,Software tools
idea-php-symfony2-plugin,10,7903.8666666667,Application
phonegap-app-developer,9.4339622642,2714.4291666667,Web libraries and frameworks
BiomesOPlenty,9.0909090909,579.053030303,Application
box2dlights,9.0909090909,2205.0375,Non-web libraries and frameworks
giraph,8.3333333333,5102.4875,Software tools
keycloak,8.1081081081,7476.8571428572,Software tools
jstorm,7.4074074074,3335.3333333333,Software tools
Metamorphosis,7.1428571429,1672.1904761905,Application
bither-android,6.6666666667,3713.6222222222,Application
error-prone,6.6666666667,2546.7890804598,Software tools
mcMMO,6,7004.3901360544,Application
phonegap-facebook-plugin,5.6603773585,1831.2801587302,Application
spatial4j,5.5555555556,982.35,Non-web libraries and frameworks
evernote-sdk-android,5.3892215569,10273.4291666667,System Software
stratio-cassandra,5.1724137931,8696.2147940075,Software tools
astrid,5.1020408163,7141.7240740741,Application
socialize-sdk-android,4.3956043956,1868.7458333333,System Software
mopub-android-sdk,3.2432432432,19050.1291666667,System Software
bnd,2.7027027027,3300.3229166667,Software tools
oozie,2.7027027027,1817.1476190476,Software tools
stripe-java,2.6086956522,52793.7827160494,Non-web libraries and frameworks
ANE-Facebook,1.1235955056,12370.9111111111,System Software
pinpoint,1.0989010989,3200.7466666667,Software tools
vraptor4,1.0416666667,1050.6206349206,Web libraries and frameworks
