name,rm,avgAll,category
fixture-factory,100,475.9277777778,Software tools
java-api-wrapper,100,1115.8666666667,Non-web libraries and frameworks
elasticsearch-jdbc,100,3402.5695402299,Non-web libraries and frameworks
simpletask-android,100,426.0794871795,Application
spring-data-document-examples,100,3295.7916666667,Application
hppc,100,960.5833333333,Non-web libraries and frameworks
cloudhopper-smpp,100,1027.5256410256,Non-web libraries and frameworks
memcached-session-manager,100,16731.2904761905,Software tools
java,100,3769.7208333333,Non-web libraries and frameworks
android-bankdroid,100,10585.5603603604,Application
mapbox-android-sdk,100,1015.6847222222,System Software
java-memcached-client,100,1352.6959770115,Non-web libraries and frameworks
swift,100,5132.1,Non-web libraries and frameworks
ChatSecureAndroid,100,1849.264516129,Application
todo.txt-android,100,2459.7782051282,Application
live-chat-engine,100,1201.3222222222,Application
facebook4j,100,880.2722222222,Non-web libraries and frameworks
android-sqlite-asset-helper,100,408.4166666667,Software tools
audio-wife,100,119.1833333333,Non-web libraries and frameworks
GoogleAuth,100,531.1722222222,Non-web libraries and frameworks
MaterialSpinner,100,212.1666666667,Application
thymeleaf-layout-dialect,100,289.75,Web libraries and frameworks
jenkins-gitlab-merge-request-builder-plugin,100,279.9095238095,Application
Android-BitmapCache,100,235.5,Non-web libraries and frameworks
guava-retrying,100,435.2595238095,Non-web libraries and frameworks
multi-thread-context,100,299.0333333333,Non-web libraries and frameworks
material-menu,100,258.0166666667,Non-web libraries and frameworks
liblinear-java,100,764.2666666667,Non-web libraries and frameworks
maven-gae-plugin,100,780.1380952381,Software tools
Android-Iconics,100,1925.2833333333,Non-web libraries and frameworks
snappy-java,100,449.0333333333,Application
netflix-graph,100,364.4166666667,Non-web libraries and frameworks
Paginize,100,425.4333333333,Non-web libraries and frameworks
webimageloader,100,806.0277777778,Non-web libraries and frameworks
jasmine-maven-plugin,100,780.5430555556,Software tools
jsonld-java,100,448.3725490196,Non-web libraries and frameworks
htmlelements,100,1500.9551282051,Web libraries and frameworks
m2e-android,100,4443.1222222222,Software tools
seyren,100,558.3925287356,Software tools
libgdx-contribs,100,529.1,Non-web libraries and frameworks
dynalink,100,28968.2944444444,Non-web libraries and frameworks
HearthStats.net-Uploader,100,259.1833333333,Application
spring-retry,100,724.2,Non-web libraries and frameworks
world,100,813.4666666667,Application
v2ex-daily-android,100,335.35,Non-web libraries and frameworks
Transitions-Everywhere,100,547.2277777778,Non-web libraries and frameworks
EverMemo,100,779.3,Application
librec,100,778.8333333333,Non-web libraries and frameworks
pebble,100,842.069047619,Non-web libraries and frameworks
prevayler,100,1703.3285714286,Non-web libraries and frameworks
floobits-intellij,100,961.35,Software tools
AisenForAndroid,100,2312.7,Non-web libraries and frameworks
sdkexamples-android,100,1541.55,Application
BarcodeScanner,100,870.9371794872,Application
wiremock,100,969.3264367816,Non-web libraries and frameworks
gwtbootstrap3,100,853.6888888889,Software tools
elasticsearch-knapsack,100,1275.9690476191,Application
validator,100,2750.0727272727,Application
TweetLanes,100,5028.4416666667,Application
MonsterHunter4UDatabase,100,1829.5761904762,System Software
metadata-extractor,100,1728.5555555556,Non-web libraries and frameworks
suro,100,1474.2560606061,System Software
MozStumbler,100,6708.4865461847,Software tools
d2rq,100,1910.0075757576,System Software
jacoco,100,1295.65,Non-web libraries and frameworks
fast-serialization,100,3673.45,Software tools
enroscar,100,1793.6166666667,Software tools
spring-security-oauth,100,1781.1614942529,Web libraries and frameworks
restx,100,2006.1444444445,Web libraries and frameworks
grpc-java,100,1099.8111111111,Non-web libraries and frameworks
javaslang,100,1764.1119047619,Non-web libraries and frameworks
crash,100,7555.0079710145,System Software
platform_dalvik,100,18930.3117486339,System Software
openhab,100,9081.85,Application
mongo-hadoop,98.3050847458,3314.8046099291,Non-web libraries and frameworks
lwjgl,97.4358974359,3696.4205128205,Non-web libraries and frameworks
sqoop-release,96.8085106383,2557.8871794872,System Software
java-driver,96.5517241379,5666.5217514124,Application
robocode,96.4912280702,2356.875,Application
c3p0,95.652173913,1019.15,Non-web libraries and frameworks
powermock,95.4545454545,2031.1333333333,Non-web libraries and frameworks
flyway,95.2380952381,1802.5859649123,Application
joda-time,95.2380952381,13798.8357142857,Non-web libraries and frameworks
zaproxy,95.0617283951,4552.4833333333,Application
android-support-v4-googlemaps,94.7368421053,2283.75,Non-web libraries and frameworks
android-xbmcremote,94.1176470588,2453.9166666667,Non-web libraries and frameworks
gs-collections,93.5064935065,9974.5555555556,Non-web libraries and frameworks
pdfbox,92.3076923077,8130.9,Non-web libraries and frameworks
spring-integration,92.3076923077,69572.2790322581,Software tools
opencms-core,92.1951219512,26711.1429292929,Web libraries and frameworks
Terasology,92.1568627451,3905.3611111111,Non-web libraries and frameworks
bc-java,91.6256157635,4158.3282608696,Application
activejdbc,90.9090909091,1549.1823529412,Non-web libraries and frameworks
google-api-java-client,90.9090909091,1081.4,Non-web libraries and frameworks
args4j,90.9090909091,39177.3985507246,Non-web libraries and frameworks
groovy-eclipse,90.2131361462,83563.582051282,Software tools
railo,90,5280.0555555556,Software tools
assertj-core,90,2450.1286458333,Non-web libraries and frameworks
pgjdbc,90,2132.5119047619,Non-web libraries and frameworks
android-beacon-library,90,456.2568627451,Non-web libraries and frameworks
togglz,90,2526.9607843137,Non-web libraries and frameworks
Smack,89.7058823529,2317.9838709678,Non-web libraries and frameworks
jackson-core,89.4736842105,50905.9444444444,Non-web libraries and frameworks
zk,87.7142857143,190022.789215686,Web libraries and frameworks
android_frameworks_base,87.6530612245,17601.6822695035,Non-web libraries and frameworks
TwelveMonkeys,87.5,22056.5333333333,Non-web libraries and frameworks
languagetool,87.5,1868.8760416667,Software tools
spring-android,87.0967741935,2214.7166666667,Non-web libraries and frameworks
freemarker,86.7256637168,2637.3333333333,Non-web libraries and frameworks
