project;url;stars;whatchers;contributors;forks;size;releases;NOF;branches;duration;avgTime;commits;files_contributor;APIs_contributor ;quantFields_last;quantElements_last;quantFieldsDeprecated_last;quantFieldsDeprecatedWithRelMessage_last;quantTypes_last;quantTypesDeprecated_last;quantTypesDeprecatedWithRelMessage_last;quantMethods_last;quantMethodsDeprecated_last;quantMethodsDeprecatedWithRelMessage_last;quantElements_last;quantElementsDeprecated_last;quantElementsDeprecatedWithRelMessage_last;perc_quantElementsDeprecatedWithRelMessage_last;perc_quantElementsDeprecated_last;avgPopularity;avgSize;avgCommunity;avgActivity;avgMaturity;avgAll;category
jasmine-maven-plugin;git://github.com/searls/jasmine-maven-plugin.git;281;30;24;152;9579;21;262;5;1871;890.952.380.952;597;109.166.666.667;250.416.666.667;59;601;1;1;82;0;0;460;0;0;601;1;1;100;0.1663893511;121.75;1872;199.861.111.111;179.791.666.667;1871;7.805.430.555.556;Software tools
jsonld-java;git://github.com/jsonld-java/jsonld-java.git;130;37;17;66;3935;9;1080;2;1183;1.314.444.444.444;540;635.294.117.647;417.058.823.529;147;709;0;0;72;0;0;490;1;1;709;1;1;100;0.1410437236;62.5;903;407.450.980.392;526.176.470.588;1183;4.483.725.490.196;Non-web libraries and frameworks
htmlelements;git://github.com/yandex-qatools/htmlelements.git;115;37;13;58;1872;7;128;6;1042;1.488.571.428.571;429;98.461.538.462;553.846.153.846;56;720;0;0;122;0;0;542;1;1;720;1;1;100;0.1388888889;55.75;63.483.333.333.333;260.769.230.769;326.153.846.154;1042;15.009.551.282.051;Web libraries and frameworks
m2e-android;git://github.com/rgladwell/m2e-android.git;353;33;18;73;18024;14;301;4;2072;148;808;167.222.222.222;421.111.111.111;15;758;0;0;137;0;0;606;1;1;758;1;1;100;0.1319261214;119.25;199.693.333.333.333;256.111.111.111;294.166.666.667;2072;44.431.222.222.222;Software tools
seyren;git://github.com/scobal/seyren.git;550;60;29;142;58991;5;159;3;1197;239.4;585;54.827.586.207;261.724.137.931;13;759;0;0;94;0;0;652;1;1;759;1;1;100;0.1317523057;195.25;13.636.666.666.667;202.183.908.046;158.275.862.069;1197;5.583.925.287.356;Software tools
libgdx-contribs;git://github.com/manuelbua/libgdx-contribs.git;133;30;4;38;3224;7;108;4;1020;1.457.142.857.143;161;27;192.5;98;770;0;0;51;1;1;621;0;0;770;1;1;100;0.1298701299;51.25;1390;74.5;109.75;1020;529.1;Non-web libraries and frameworks
dynalink;git://github.com/szegedi/dynalink.git;158;22;3;10;3292;6;108;3;1667;2.778.333.333.333;362;36;2.866.666.666.667;33;860;0;0;129;0;0;698;1;1;860;1;1;100;0.1162790698;48.25;142.856.333.333.333;1.085.555.555.556;1.613.333.333.333;1667;289.682.944.444.444;Non-web libraries and frameworks
HearthStats.net-Uploader;git://github.com/HearthStats/HearthStats.net-Uploader.git;141;25;16;76;427355;84;354;20;500;59.523.809.524;1276;22125;56375;241;902;0;0;109;0;0;552;1;1;902;1;1;100;0.110864745;64.5;6.606.666.666.667;31.5;39.25;500;2.591.833.333.333;Application
spring-retry;git://github.com/spring-projects/spring-retry.git;112;25;7;38;953;12;127;2;1421;1.184.166.666.667;74;181.428.571.429;1.328.571.428.571;35;930;0;0;165;1;1;730;0;0;930;1;1;100;0.1075268817;45.5;20.263.333.333.333;526.666.666.667;75.5;1421;724.2;Non-web libraries and frameworks
world;git://github.com/openproject/world.git;103;19;1;157;4430;3;719;6;346;1.153.333.333.333;161;719;933;194;933;0;0;113;0;0;626;1;1;933;1;1;100;0.1071811361;70;22.743.333.333.333;551;826;346;8.134.666.666.667;Application
v2ex-daily-android;git://github.com/kyze8439690/v2ex-daily-android.git;383;27;2;106;5698;6;192;4;375;62.5;62;96;475.5;118;951;0;0;94;0;0;739;1;1;951;1;1;100;0.1051524711;129.5;6.953.333.333.333;1.911.666.666.667;285.75;375;335.35;Non-web libraries and frameworks
Transitions-Everywhere;git://github.com/andkulikov/Transitions-Everywhere.git;759;44;3;91;1058;10;77;2;621;62.1;127;256.666.666.667;345;130;1035;0;0;95;0;0;810;1;1;1035;1;1;100;0.0966183575;224.25;1581;1.245.555.555.556;1.853.333.333.333;621;5.472.277.777.778;Non-web libraries and frameworks
EverMemo;git://github.com/daimajia/EverMemo.git;437;37;1;173;3542;12;166;2;310;258.333.333.333;96;166;1053;179;1053;0;0;73;0;0;801;1;1;1053;1;1;100;0.0949667616;162;24.083.333.333.333;4.066.666.666.667;609.5;310;779.3;Application
librec;git://github.com/guoguibing/librec.git;130;28;2;75;6034;3;138;3;566;1.886.666.666.667;717;69;637.5;205;1275;0;0;103;0;0;967;1;1;1275;1;1;100;0.0784313725;58.75;2680;2.361.666.666.667;353.25;566;7.788.333.333.333;Non-web libraries and frameworks
pebble;git://github.com/mbosecke/pebble.git;149;23;14;22;6508;25;257;3;954;38.16;490;183.571.428.571;988.571.428.571;42;1384;0;0;213;1;1;1129;0;0;1384;1;1;100;0.0722543353;52;3102;437.380.952.381;586.071.428.571;954;842.069.047.619;Non-web libraries and frameworks
prevayler;git://github.com/jsampson/prevayler.git;189;32;7;22;7633;28;289;7;4683;167.25;610;412.857.142.857;2.032.857.142.857;54;1423;0;0;238;0;0;1131;1;1;1423;1;1;100;0.0702740689;62.5;3565;838.571.428.571;1.222.857.142.857;4683;17.033.285.714.286;Non-web libraries and frameworks
floobits-intellij;git://github.com/Floobits/floobits-intellij.git;113;2;4;3;9057;38;215;37;680;178.947.368.421;974;53.75;363.75;308;1455;0;0;178;0;0;969;1;1;1455;1;1;100;0.0687285223;30.5;3747;140.5;208.75;680;961.35;Software tools
AisenForAndroid;git://github.com/wangdan/AisenForAndroid.git;196;35;1;94;9588;4;198;3;313;78.25;93;198;1742;152;1742;0;0;167;0;0;1423;1;1;1742;1;1;100;0.0574052813;81.5;9552;647;970;313;2312.7;Non-web libraries and frameworks
sdkexamples-android;git://github.com/easemob/sdkexamples-android.git;211;52;10;177;26371;19;543;26;763;401.578.947.368;991;54.3;193.2;325;1932;0;0;165;1;1;1442;0;0;1932;1;1;100;0.0517598344;112.5;66.226.666.666.667;858.333.333.333;123.75;763;1541.55;Application
BarcodeScanner;git://github.com/wildabeast/BarcodeScanner.git;732;83;26;762;17460;28;476;5;1042;372.142.857.143;200;183.076.923.077;756.153.846.154;117;1966;0;0;289;0;0;1560;1;1;1966;1;1;100;0.0508646999;400.75;2825;399.743.589.744;469.615.384.615;1042;8.709.371.794.872;Application
wiremock;git://github.com/tomakehurst/wiremock.git;555;53;29;267;6177;26;332;18;1394;536.153.846.154;667;114.482.758.621;733.103.448.276;119;2126;0;0;227;1;1;1780;0;0;2126;1;1;100;0.0470366886;226;31.463.333.333.333;379.195.402.299;423.793.103.448;1394;9.693.264.367.816;Non-web libraries and frameworks
gwtbootstrap3;git://github.com/gwtbootstrap3/gwtbootstrap3.git;255;60;30;116;6909;11;404;2;734;667.272.727.273;770;134.666.666.667;907.666.666.667;203;2723;0;0;322;0;0;2198;1;1;2723;1;1;100;0.0367242012;115.25;33.223.333.333.333;447.444.444.444;521.166.666.667;734;8.536.888.888.889;Software tools
elasticsearch-knapsack;git://github.com/jprante/elasticsearch-knapsack.git;262;26;7;46;6973;40;271;12;904;22.6;84;387.142.857.143;394;357;2758;0;0;270;0;0;2131;1;1;2758;1;1;100;0.0362581581;85.25;50.276.666.666.667;1.465.714.285.714;2.163.571.428.571;904;12.759.690.476.191;Application
validator;git://github.com/validator/validator.git;140;21;22;31;11769;6;556;3;3680;6.133.333.333.333;2456;252.727.272.727;1.333.636.363.636;226;2934;0;0;274;0;0;2434;1;1;2934;1;1;100;0.0340831629;53.5;98.773.333.333.333;602.121.212.121;793.181.818.182;3680;27.500.727.272.727;Application
TweetLanes;git://github.com/chrislacy/TweetLanes.git;679;84;16;270;25999;22;699;4;600;272.727.272.727;778;436.875;1.850.625;389;2961;0;0;293;0;0;2279;1;1;2961;1;1;100;0.0337723742;262.25;24084;815.833.333.333;114375;600;50.284.416.666.667;Application
MonsterHunter4UDatabase;git://github.com/kamegami13/MonsterHunter4UDatabase.git;106;48;14;49;67860;9;1431;3;315;35;620;1.022.142.857.143;2.161.428.571.429;572;3026;0;0;348;0;0;2106;1;1;3026;1;1;100;0.0330469266;54.25;85.086.666.666.667;1.107.857.142.857;1.591.785.714.286;315;18.295.761.904.762;System Software
metadata-extractor;git://github.com/drewnoakes/metadata-extractor.git;184;27;6;34;22128;22;372;2;4807;218.5;647;62;5.228.333.333.333;1393;3137;1;1;235;0;0;1509;0;0;3137;1;1;100;0.0318775901;62.75;32.836.666.666.667;1.969.444.444.444;2.924.166.666.667;4807;17.285.555.555.556;Non-web libraries and frameworks
suro;git://github.com/Netflix/suro.git;416;245;11;109;6410;35;304;22;1198;342.285.714.286;553;276.363.636.364;298;483;3278;0;0;393;0;0;2402;1;1;3278;1;1;100;0.0305064063;195.25;5703;1.122.121.212.121;1.628.181.818.182;1198;14.742.560.606.061;System Software
MozStumbler;git://github.com/mozilla/MozStumbler.git;452;52;83;176;13404;85;427;3;776;91.294.117.647;2575;51.445.783.133;396.746.987.952;577;3293;0;0;353;0;0;2363;1;1;3293;1;1;100;0.0303674461;190.75;325.106.666.666.667;426.064.257.028;224.096.385.542;776;67.084.865.461.847;Software tools
d2rq;git://github.com/d2rq/d2rq.git;125;32;11;63;93683;20;556;7;3920;196;982;505.454.545.455;305;504;3355;0;0;303;0;0;2548;1;1;3355;1;1;100;0.0298062593;57.75;52.723.333.333.333;1.221.818.181.818;1.777.727.272.727;3920;19.100.075.757.576;System Software
jacoco;git://github.com/jacoco/jacoco.git;343;60;14;142;11754;31;708;9;2187;705.483.870.968;1254;505.714.285.714;2.664.285.714.286;196;3730;0;0;489;1;1;3045;0;0;3730;1;1;100;0.0268096515;139.75;38.826.666.666.667;1.103.333.333.333;158.5;2187;1295.65;Non-web libraries and frameworks
fast-serialization;git://github.com/RuedigerMoeller/fast-serialization.git;387;39;5;68;7676;52;242;5;624;12;571;48.4;815.8;1018;4079;0;0;310;0;0;2751;1;1;4079;1;1;100;0.0245158127;124.75;168.966.666.666.667;2.897.333.333.333;432.1;624;3673.45;Software tools
enroscar;git://github.com/stanfy/enroscar.git;177;33;5;20;46108;11;503;4;1562;142;1471;100.6;830.6;378;4153;0;0;495;1;1;3280;0;0;4153;1;1;100;0.0240789791;58.75;65.696.666.666.667;3.120.666.666.667;465.6;1562;17.936.166.666.667;Software tools
spring-security-oauth;git://github.com/spring-projects/spring-security-oauth.git;971;218;58;1211;14663;30;893;5;1800;60;1022;153.965.517.241;861.724.137.931;179;4998;0;0;874;1;1;3945;0;0;4998;1;1;100;0.0200080032;614.5;63.873.333.333.333;531.896.551.724;507.844.827.586;1800;17.811.614.942.529;Web libraries and frameworks
restx;git://github.com/restx/restx.git;293;36;18;64;12552;16;1612;18;810;50625;1104;895.555.555.556;2.796.111.111.111;320;5033;0;0;819;0;0;3894;1;1;5033;1;1;100;0.0198688655;102.75;88.043.333.333.333;1.290.555.555.556;1.845.833.333.333;810;20.061.444.444.445;Web libraries and frameworks
grpc-java;git://github.com/grpc/grpc-java.git;828;152;30;192;21016;4;364;7;225;56.25;732;121.333.333.333;1.877.333.333.333;388;5632;0;0;505;1;1;4739;0;0;5632;1;1;100;0.0177556818;300.5;4797;766.222.222.222;999.333.333.333;225;10.998.111.111.111;Non-web libraries and frameworks
javaslang;git://github.com/javaslang/javaslang.git;275;25;14;31;8578;5;181;3;567;113.4;1451;129.285.714.286;4.106.428.571.429;149;5749;0;0;292;0;0;5308;1;1;5749;1;1;100;0.0173943294;86.25;78.096.666.666.667;1.458.571.428.571;2.117.857.142.857;567;17.641.119.047.619;Non-web libraries and frameworks
crash;git://github.com/crashub/crash.git;371;47;23;96;16950;85;730;5;2023;23.8;1986;317.391.304.348;2.536.086.956.522;606;5833;0;0;849;1;1;4378;0;0;5833;1;1;100;0.0171438368;134.25;353.723.333.333.333;1.027.826.086.957;1.426.739.130.435;2023;75.550.079.710.145;System Software
platform_dalvik;git://github.com/android/platform_dalvik.git;266;68;61;188;98878;158;1406;56;2451;155.126.582.278;7585;230.491.803.279;1.547.213.114.754;2633;9438;0;0;780;0;0;6025;1;1;9438;1;1;100;0.0105954651;145.75;918.863.333.333.333;795.901.639.344;888.852.459.016;2451;189.303.117.486.339;System Software
openhab;git://github.com/openhab/openhab.git;1591;311;300;923;259640;17;6581;5;2008;1.181.176.470.588;7277;219.366.666.667;1.120.633.333.333;7288;33619;0;0;3232;0;0;23099;1;1;33619;1;1;100;0.0029745085;781.25;424.083.333.333.333;1.446.666.666.667;67;2008;9081.85;Application
mongo-hadoop;git://github.com/mongodb/mongo-hadoop.git;968;135;47;399;93372;12;234;28;1817;1.514.166.666.667;1082;49.787.234.043;291.489.361.702;150;1370;39;39;142;0;0;1078;20;19;1370;59;58;983.050.847.458;43.065.693.431;387.25;143.256.666.666.667;270.425.531.915;170.638.297.872;1817;33.148.046.099.291;Non-web libraries and frameworks
lwjgl;git://github.com/LWJGL/lwjgl.git;396;83;26;108;40230;51;1377;2;4753;931.960.784.314;3876;529.615.384.615;7.044.615.384.615;8644;18316;3;2;1064;0;0;8608;36;36;18316;39;38;974.358.974.359;0.212928587;153.25;12936;261.141.025.641;3.787.115.384.615;4753;36.964.205.128.205;Non-web libraries and frameworks
sqoop-release;git://github.com/apache/sqoop.git;124;25;13;130;19619;27;873;20;1521;563.333.333.333;714;671.538.461.538;5.557.692.307.692;1125;7225;0;0;778;182;180;5322;6;2;7225;188;182;968.085.106.383;26.020.761.246;73;10672;2.119.743.589.744;3.114.615.384.615;1521;25.578.871.794.872;System Software
java-driver;git://github.com/datastax/java-driver.git;497;133;59;354;24339;53;452;36;1106;208.679.245.283;1968;76.610.169.492;1.021.694.915.254;545;6028;1;1;678;0;0;4805;28;27;6028;29;28;965.517.241.379;0.4810882548;260.75;268.546.666.666.667;562.768.361.582;549.152.542.373;1106;56.665.217.514.124;Application
robocode;git://github.com/robo-code/robocode.git;158;44;4;63;73243;99;1293;14;5059;51.101.010.101;2266;323.25;1890.5;496;7562;0;0;764;1;1;6302;56;54;7562;57;55;964.912.280.702;0.7537688442;67.25;4812;739.25;1106875;5059;2356875;Application
c3p0;git://github.com/swaldman/c3p0.git;383;62;5;113;6685;60;189;4;983;163.833.333.333;331;37.8;585.4;478;2927;0;0;198;6;6;2251;17;16;2927;23;22;95.652.173.913;0.7857874957;140.75;3451;209.4;311.6;983;1019.15;Non-web libraries and frameworks
powermock;git://github.com/jayway/powermock.git;201;26;9;96;6447;5;979;2;2655;531;1237;1.087.777.777.778;6.172.222.222.222;529;5555;0;0;944;2;2;4082;20;19;5555;22;21;954.545.454.545;0.396039604;83;68.096.666.666.667;245;363;2655;20.311.333.333.333;Non-web libraries and frameworks
flyway;git://github.com/flyway/flyway.git;916;88;38;315;14174;10;700;2;1879;187.9;1352;184.210.526.316;603.947.368.421;44;2295;1;1;351;3;2;1900;17;17;2295;21;20;952.380.952.381;0.9150326797;339.25;67.163.333.333.333;389.385.964.912;394.078.947.368;1879;18.025.859.649.123;Application
joda-time;git://github.com/JodaOrg/joda-time.git;1536;139;35;357;17397;44;457;6;4266;969.545.454.545;1886;130.571.428.571;3.098.571.428.571;484;10845;0;0;473;5;5;9888;16;15;10845;21;20;952.380.952.381;0.193637621;516.75;639.306.666.666.667;1.193.047.619.048;1.614.571.428.571;4266;137.988.357.142.857;Non-web libraries and frameworks
zaproxy;git://github.com/zaproxy/zaproxy.git;274;39;38;65;178902;23;2045;25;1830;795.652.173.913;3121;538.157.894.737;4.126.842.105.263;953;15682;8;8;1336;19;19;13393;54;50;15682;81;77;950.617.283.951;0.5165157505;104;20427;1.681.666.666.667;233.25;1830;45.524.833.333.333;Application
android-support-v4-googlemaps;git://github.com/petedoyle/android-support-v4-googlemaps.git;190;26;3;62;45304;17;295;13;665;391.176.470.588;209;983.333.333.333;11.886.666.666.667;548;3566;2;2;396;0;0;2622;17;16;3566;19;18;947.368.421.053;0.532809871;70.25;9610;430;643.5;665;2283.75;Non-web libraries and frameworks
android-xbmcremote;git://github.com/freezy/android-xbmcremote.git;383;84;20;305;24023;3;1241;4;1715;5.716.666.666.667;946;62.05;405.45;1837;8109;1;1;609;2;2;5663;31;29;8109;34;32;941.176.470.588;0.4192872117;198;99.603.333.333.333;162.5;233.75;1715;24.539.166.666.667;Non-web libraries and frameworks
gs-collections;git://github.com/goldmansachs/gs-collections.git;1256;190;9;173;18833;16;2939;2;1251;781.875;845;3.265.555.555.556;36.327.777.777.778;347;32695;1;0;2915;18;18;29433;135;126;32695;154;144;935.064.935.065;0.4710200336;407;449.123.333.333.333;13.227.777.777.778;19.796.666.666.667;1251;99.745.555.555.556;Non-web libraries and frameworks
pdfbox;git://github.com/apache/pdfbox.git;198;36;5;151;100536;23;1506;15;2749;1.195.217.391.304;4449;301.2;2679.2;2124;13396;13;13;1229;1;1;10043;77;70;13396;91;84;923.076.923.077;0.6793072559;97.5;353.226.666.666.667;9.951.333.333.333;1490.2;2749;8130.9;Non-web libraries and frameworks
spring-integration;git://github.com/spring-projects/spring-integration.git;374;84;62;349;88887;100;3685;11;2834;28.34;8037;59.435.483.871;3.363.387.096.774;1048;20853;0;0;3151;10;9;16654;16;15;20853;26;24;923.076.923.077;0.1246822999;217.25;344.459.666.666.667;1.525.913.978.495;1.978.870.967.742;2834;695.722.790.322.581;Software tools
opencms-core;git://github.com/alkacon/opencms-core.git;205;81;33;206;1004959;198;7567;10;5740;289.898.989.899;19065;229.303.030.303;16.684.545.454.546;13555;55059;71;71;3597;8;7;37907;126;111;55059;205;189;921.951.219.512;0.3723278665;131.25;126092;6.435.858.585.859;9.488.787.878.788;5740;267.111.429.292.929;Web libraries and frameworks
Terasology;git://github.com/MovingBlocks/Terasology.git;1106;123;60;440;320790;22;2427;9;1628;74;5152;40.45;3.350.166.666.667;1222;20101;0;0;2072;18;18;16807;33;29;20101;51;47;921.568.627.451;0.2537187205;432.25;171.336.666.666.667;1.451.555.555.556;1.877.333.333.333;1628;39.053.611.111.111;Non-web libraries and frameworks
bc-java;git://github.com/bcgit/bc-java.git;202;49;23;179;26668;4;4632;2;924;231;2893;2.013.913.043.478;18.454.782.608.696;7316;42446;80;80;4810;53;50;30320;273;242;42446;406;372;916.256.157.635;0.9565094473;113.25;18041;6.899.565.217.391;10.234.347.826.087;924;41.583.282.608.696;Application
activejdbc;git://github.com/javalite/activejdbc.git;221;42;17;82;11236;28;441;17;1849;660.357.142.857;963;259.411.764.706;1.413.529.411.765;71;2403;0;0;346;6;6;1986;27;24;2403;33;30;909.090.909.091;13.732.833.958;90.5;56.613.333.333.333;61.431.372.549;836.470.588.235;1849;15.491.823.529.412;Non-web libraries and frameworks
google-api-java-client;git://github.com/google/google-api-java-client.git;205;48;12;136;14301;46;280;23;1839;399.782.608.696;719;233.333.333.333;1.211.666.666.667;193;1454;0;0;189;0;0;1072;11;10;1454;11;10;909.090.909.091;0.7565337001;100.25;33.433.333.333.333;521.666.666.667;72.25;1839;1081.4;Non-web libraries and frameworks
args4j;git://github.com/kohsuke/args4j.git;332;29;23;102;8402;30;174;3;4332;144.4;608;75.652.173.913;378.260.869.565;130;870;0;0;155;0;0;585;11;10;870;11;10;909.090.909.091;12.643.678.161;121.5;191388;227.971.014.493;226.956.521.739;4332;391.773.985.507.246;Non-web libraries and frameworks
groovy-eclipse;git://github.com/groovy/groovy-eclipse.git;108;24;13;73;560822;27;12472;18;2205;816.666.666.667;2943;9.593.846.153.846;204.603.076.923.077;71978;265984;627;553;11923;295;211;182083;1377;1310;265984;2299;2074;902.131.361.462;0.8643377045;54.5;397.704.333.333.333;71.442.307.692.308;107.098.461.538.462;2205;83.563.582.051.282;Software tools
railo;git://github.com/getrailo/railo.git;246;45;15;86;923239;164;3890;7;1896;115.609.756.098;3990;2.593.333.333.333;2545.8;5568;38187;0;0;2983;11;11;29636;149;133;38187;160;144;90;0.418990756;98;220.636.666.666.667;9.400.444.444.444;14.025.666.666.667;1896;52.800.555.555.556;Software tools
assertj-core;git://github.com/joel-costigliola/assertj-core.git;457;39;64;117;25795;15;2209;8;1779;118.6;1125;34.515.625;21.315.625;555;13642;0;0;2236;0;0;10851;20;18;13642;20;18;90;0.1466060695;169.25;100.746.666.666.667;103.890.625;1.238.359.375;1779;24.501.286.458.333;Non-web libraries and frameworks
pgjdbc;git://github.com/pgjdbc/pgjdbc.git;154;40;56;143;16170;92;412;21;6573;714.456.521.739;1732;73.571.428.571;782.142.857.143;360;4380;1;0;342;1;0;3678;18;18;4380;20;18;90;0.4566210046;98.25;39.013.333.333.333;471.904.761.905;427.857.142.857;6573;21.325.119.047.619;Non-web libraries and frameworks
android-beacon-library;git://github.com/AltBeacon/android-beacon-library.git;766;120;17;267;7210;51;114;38;685;13.431.372.549;450;67.058.823.529;562.352.941.176;114;956;1;0;101;0;0;741;9;9;956;10;9;90;10.460.251.046;292.5;12.456.666.666.667;266.470.588.235;314.705.882.353;685;4.562.568.627.451;Non-web libraries and frameworks
togglz;git://github.com/togglz/togglz.git;137;31;17;61;2422;17;359;7;1314;772.941.176.471;532;211.176.470.588;876.470.588.235;76;1490;0;0;264;1;1;1150;9;8;1490;10;9;90;0.6711409396;61.5;11163;419.215.686.275;543.823.529.412;1314;25.269.607.843.137;Non-web libraries and frameworks
Smack;git://github.com/igniterealtime/Smack.git;504;122;31;319;30731;16;1268;4;4599;2.874.375;2691;409.032.258.065;303;883;9393;0;0;1169;8;8;7341;60;53;9393;68;61;897.058.823.529;0.7239433621;244;6450;1.249.677.419.355;1.719.516.129.032;4599;23.179.838.709.678;Non-web libraries and frameworks
jackson-core;git://github.com/FasterXML/jackson-core.git;725;96;24;242;9776;52;181;12;1335;256.730.769.231;832;75.416.666.667;125625;469;3015;2;0;185;0;0;2361;17;17;3015;19;17;894.736.842.105;0.6301824212;271.75;252804;523.888.888.889;665.833.333.333;1335;509.059.444.444.444;Non-web libraries and frameworks
zk;git://github.com/zkoss/zk.git;159;46;34;103;747752;101;7645;11;3382;334.851.485.149;21990;2.248.529.411.765;7.688.823.529.412;2066;26142;8;5;2983;62;60;21093;280;242;26142;350;307;877.142.857.143;13.388.417.107;85.5;945807;3.425.784.313.725;4.968.676.470.588;3382;190.022.789.215.686;Web libraries and frameworks
android_frameworks_base;git://github.com/CyanogenMod/android_frameworks_base.git;354;134;94;999;2782643;31;28636;48;2493;804.193.548.387;153986;3.046.382.978.723;4.867.553.191.489;13903;45755;548;498;2759;69;68;29093;363;293;45755;980;859;876.530.612.245;21.418.424.216;395.25;844.293.333.333.333;2.951.312.056.738;3.956.968.085.106;2493;176.016.822.695.035;Non-web libraries and frameworks
TwelveMonkeys;git://github.com/haraldk/TwelveMonkeys.git;224;38;10;77;206337;10;1196;6;2178;217.8;736;119.6;1008.9;1733;10089;0;0;981;5;4;7375;11;10;10089;16;14;87.5;0.1585885618;87.25;107.073.666.666.667;379.5;564.25;2178;220.565.333.333.333;Non-web libraries and frameworks
languagetool;git://github.com/languagetool-org/languagetool.git;455;54;32;128;309069;11;2063;5;4477;407;15724;6.446.875;2.256.875;496;7222;0;0;1062;1;0;5664;7;7;7222;8;7;87.5;0.1107726392;167.25;44.476.666.666.667;1.073.854.166.667;145.078.125;4477;18.688.760.416.667;Software tools
spring-android;git://github.com/spring-projects/spring-android.git;538;91;6;204;5755;10;366;5;1734;173.4;492;61;736;200;4416;0;0;566;5;5;3650;26;22;4416;31;27;870.967.741.935;0.7019927536;209.75;84.636.666.666.667;2.676.666.666.667;398.5;1734;22.147.166.666.667;Non-web libraries and frameworks
freemarker;git://github.com/freemarker/freemarker.git;327;60;6;134;19886;19;1089;8;1986;1.045.263.157.895;1348;181.5;1494;735;8964;16;16;1215;21;12;7014;76;70;8964;113;98;867.256.637.168;12.605.979.473;131.75;96.706.666.666.667;560.5;837.75;1986;26.373.333.333.333;Non-web libraries and frameworks
ormlite-core;git://github.com/j256/ormlite-core.git;212;33;5;108;19738;63;310;3;1709;27.126.984.127;1572;62;951.2;785;4756;0;0;648;0;0;3323;15;13;4756;15;13;866.666.666.667;0.3153910849;89.5;85.343.333.333.333;339.4;506.6;1709;22.357.666.666.667;Non-web libraries and frameworks
keepassdroid;git://github.com/bpellin/keepassdroid.git;527;87;20;204;20089;113;758;2;2277;201.504.424.779;799;37.9;191.3;736;3826;5;5;453;7;6;2637;3;2;3826;15;13;866.666.666.667;0.3920543649;209.5;111.666.666.666.667;830.666.666.667;114.6;2277;27.701.666.666.667;Non-web libraries and frameworks
spring-data-mongodb;git://github.com/spring-projects/spring-data-mongodb.git;400;133;39;331;29042;57;632;39;1849;324.385.964.912;1511;162.051.282.051;1.755.897.435.897;1006;6848;0;0;956;3;2;4886;49;43;6848;52;45;865.384.615.385;0.7593457944;225.75;288.123.333.333.333;769.316.239.316;958.974.358.974;1849;62.119.824.786.325;Software tools
hudson-2.x;git://github.com/hudson/hudson-2.x.git;150;16;30;41;72864;10;6725;10;2355;235.5;11332;2.241.666.666.667;4.479.333.333.333;1104;13438;43;42;1681;28;26;10653;210;175;13438;281;243;864.768.683.274;20.910.849.829;59.25;879.456.666.666.667;2.340.333.333.333;336.05;2355;18186;System Software
geoserver;git://github.com/geoserver/geoserver.git;457;128;200;548;238056;59;12343;31;1525;258.474.576.271;4774;61715;277.32;7801;55464;11;1;6005;15;13;41658;173;158;55464;199;172;86.432.160.804;0.358791288;333.25;191.853.333.333.333;1.796.783.333.333;1.695.175;1525;42.785.558.333.333;System Software
logstash-logback-encoder;git://github.com/logstash/logstash-logback-encoder.git;226;22;33;80;1947;30;145;4;967;322.333.333.333;392;43.939.393.939;383.636.363.636;93;1266;1;1;169;4;3;1004;17;15;1266;22;19;863.636.363.636;17.377.567.141;90.25;9831;252.525.252.525;213.787.878.788;967;21.869.762.626.263;Non-web libraries and frameworks
shiro;git://github.com/apache/shiro.git;182;43;2;134;27372;14;855;14;3559;2.542.142.857.143;1584;427.5;2486;298;4972;2;0;651;12;12;4023;14;12;4972;28;24;857.142.857.143;0.5631536605;90.25;90.053.333.333.333;9.718.333.333.333;1456.75;3559;30.166.333.333.333;Application
JavaHamcrest;git://github.com/hamcrest/JavaHamcrest.git;603;81;13;117;21884;9;160;6;3398;3.775.555.555.556;562;123.076.923.077;998.461.538.462;21;1298;0;0;178;0;0;1099;7;6;1298;7;6;857.142.857.143;0.5392912173;203.5;10528;417.179.487.179;560.769.230.769;3398;2.845.458.974.359;Non-web libraries and frameworks
enunciate;git://github.com/stoicflame/enunciate.git;177;40;17;90;28563;6;1723;16;3354;559;1281;1.013.529.411.765;4.969.411.764.706;608;8448;0;0;1139;5;4;6701;2;2;8448;7;6;857.142.857.143;0.0828598485;81;939.446.666.666.667;2.050.980.392.157;2.991.470.588.235;3354;195.767.823.529.412;Web libraries and frameworks
hibernate-orm;git://github.com/hibernate/hibernate-orm.git;1332;198;200;1137;264120;99;9266;16;2974;300.404.040.404;6202;46.33;349.08;3287;69816;37;35;8602;52;42;57927;178;150;69816;267;227;850.187.265.918;0.3824338261;716.75;40224;198.47;197705;2974;8862185;Non-web libraries and frameworks
davdroid;git://github.com/bitfireAT/davdroid.git;499;68;10;128;50252;61;604;4;691;113.278.688.525;332;60.4;385.1;700;3851;6;5;478;14;13;2673;45;37;3851;65;55;846.153.846.154;16.878.732.797;176.25;92453;1.518.333.333.333;222.75;691;187.389.666.666.667;Application
OpenIAB;git://github.com/onepf/OpenIAB.git;398;70;26;151;273406;18;102;18;834;463.333.333.333;730;39.230.769.231;351.538.461.538;247;914;7;7;64;0;0;603;19;15;914;26;22;846.153.846.154;28.446.389.497;161.25;8655;216.923.076.923;195.384.615.385;834;19.382.961.538.462;Non-web libraries and frameworks
