project,stars,whatchers,contributors,forks,size,category
vlcj,247,53,2,90,78643,Non-web libraries and frameworks
Java-Lang,199,47,15,54,76825,Non-web libraries and frameworks
openiot,138,81,13,84,216215,System Software
morphia,748,123,30,202,26124,Non-web libraries and frameworks
vk-android-sdk,165,49,15,117,3096,Non-web libraries and frameworks
jackson-annotations,283,41,15,103,2561,Non-web libraries and frameworks
groovy-core,1355,130,200,399,197841,Software tools
incubator-groovy,534,38,200,132,154552,Non-web libraries and frameworks
maven,344,61,45,212,62586,Software tools
jeromq,862,114,33,183,3119,Non-web libraries and frameworks
onos,107,62,51,94,42874,System Software
jackrabbit-oak,117,40,14,118,95885,System Software
UltimateAndroid,1262,169,3,521,117352,Non-web libraries and frameworks
ReactFX,124,17,3,15,1718,Non-web libraries and frameworks
caelum-stella,256,71,35,173,18720,Web libraries and frameworks
Bukkit,1603,196,200,1119,19858,Non-web libraries and frameworks
h-store,184,52,17,88,157963,System Software
MinecraftForge,1034,313,200,621,149252,Software tools
RustDT,175,26,3,14,3187,Software tools
immutables,455,25,9,20,6728,Non-web libraries and frameworks
gatk,165,56,50,144,249683,Non-web libraries and frameworks
BungeeCord,318,86,58,480,10352,System Software
core,222,74,30,223,2674468,Web libraries and frameworks
goclipse,379,75,5,98,145078,Application
hibernate-ogm,161,26,22,109,20358,Non-web libraries and frameworks
java-cas-client,100,24,15,140,3479,Web libraries and frameworks
ExtrabiomesXL,148,48,35,64,8094,Software tools
pi4j,327,95,14,149,33435,Non-web libraries and frameworks
httpclient,212,42,3,186,30571,Web libraries and frameworks
querydsl,606,80,41,168,83674,Non-web libraries and frameworks
mage,186,60,64,138,450884,Application
ols,183,46,8,41,43606,Application
antlr3,161,29,15,103,18998,Software tools
webprotege,102,39,4,65,59988,Software tools
eurekastreams,169,22,14,45,196750,Web libraries and frameworks
wildfly,1422,166,300,1409,331210,System Software
drools,445,136,83,675,297455,Application
xmemcached,309,51,9,148,13976,Non-web libraries and frameworks
docker-plugin,170,42,29,115,2478,Application
hazelcast,1209,207,200,584,149229,Non-web libraries and frameworks
hive,660,161,39,832,456639,Software tools
libjitsi,114,47,18,80,94822,Non-web libraries and frameworks
boon,338,55,22,83,12429,Software tools
guacamole-client,592,58,11,132,15195,Web libraries and frameworks
egit-github,370,63,19,247,6523,Non-web libraries and frameworks
bson4jackson,124,22,9,41,1056,Software tools
Java-Chronicle,983,167,12,151,2476,Non-web libraries and frameworks
jsprit,107,28,4,68,12517,Non-web libraries and frameworks
undertow,765,95,74,269,34093,System Software
incubator-calcite,107,20,50,90,93412,Non-web libraries and frameworks
docx4j,369,62,17,551,91531,Non-web libraries and frameworks
Twidere-Android,480,49,10,128,19703,Application
checkstyle,459,56,59,251,62688,Software tools
voldemort,1519,122,56,447,294495,Application
Tweetin,170,6,1,25,15764,Application
jdbi,474,52,32,109,13205,Non-web libraries and frameworks
tachyon,1503,275,200,579,40061,Application
KJFrameForAndroid,1074,212,3,587,37612,Non-web libraries and frameworks
eclipsefp,151,18,18,23,28414,Application
processing-android,141,48,17,62,61332,Non-web libraries and frameworks
spring-data-neo4j,368,131,31,476,37893,Non-web libraries and frameworks
airlift,108,22,19,47,15531,Non-web libraries and frameworks
jitsi,706,131,32,255,650012,Application
appfuse,270,95,15,165,156834,Web libraries and frameworks
Rythm,141,7,10,39,9848,Software tools
drill,470,131,43,294,42838,Software tools
repose,200,182,33,58,119453,Software tools
mahout,522,125,16,414,56367,Software tools
BuildCraft,814,221,200,441,46429,Application
multibit,328,65,8,265,148761,Application
uaa,238,136,56,219,38725,System Software
Essentials,428,72,71,707,276595,System Software
cloudstack,273,72,200,354,753689,Software tools
idea-php-symfony2-plugin,370,26,10,37,10230,Application
phonegap-app-developer,210,43,8,130,108214,Web libraries and frameworks
BiomesOPlenty,136,54,44,82,30736,Application
box2dlights,111,29,8,41,1240,Non-web libraries and frameworks
giraph,303,67,8,160,29365,Software tools
keycloak,227,55,63,205,52802,Software tools
jstorm,726,264,2,490,84848,Software tools
Metamorphosis,623,188,7,412,6415,Application
bither-android,133,22,6,42,11662,Application
error-prone,652,50,29,46,42709,Software tools
mcMMO,261,52,49,245,26902,Application
phonegap-facebook-plugin,1632,120,42,1235,94929,Application
spatial4j,214,42,2,57,16230,Non-web libraries and frameworks
evernote-sdk-android,272,48,8,116,11840,System Software
stratio-cassandra,130,88,89,24,146627,Software tools
astrid,969,90,18,871,88840,Application
socialize-sdk-android,122,32,8,55,77578,System Software
mopub-android-sdk,154,103,8,186,8956,System Software
bnd,200,32,32,103,272087,Software tools
oozie,319,36,7,110,23375,Software tools
stripe-java,148,26,54,106,3381,Non-web libraries and frameworks
ANE-Facebook,218,82,12,116,784298,System Software
pinpoint,527,81,25,127,172919,Software tools
vraptor4,223,76,42,223,25349,Web libraries and frameworks
